asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
292.258087,292.258087,18.68,17.82,17.47,23.1875,82.625,102.5,476.46875,432.625,1363.875,1336.0625,1519.6875,1653.5312,4059.8125,4088.0312
291.532318,291.532318,19.17,17.23,16.71,24.46875,85.75,110.375,688.375,618.75,1683.4062,1587.25,1630.7812,1691.9688,4087.7188,4122.5312
294.980927,294.980927,21.88,17.22,16.7,22.625,78.25,101.625,693.15625,818.53125,2109.1875,2018.5938,1970.125,1803.2188,4199.4062,4225.0938
297.21698,297.21698,23.66,20.55,17.82,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812,2261.5312,2367.6562,2091.5,4500.4688,4507.5938
295.679199,295.679199,23.08,19.04,17.61,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438,2218.0938,2515.25,2451.7188,4882.9375,4888.9062
293.837677,293.837677,20.77,19.13,17.94,17.15625,61,80.21875,502.5,727.96875,2014.6562,2058.1562,2424.2812,2624.25,5051.1875,5077.8125
294.351074,294.351074,20.49,19.12,18.3,17.875,65.46875,86.15625,497.125,699.15625,1924.0312,1941.9375,2276.5,2585.2812,4980.75,5023.7188
294.964294,294.964294,21.75,17.47,18.3,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688,1923.4375,2201.875,2462.4688,4831.7188,4878.4375
296.545349,296.545349,21.98,19.29,19.08,19.875,66.09375,87.09375,494.78125,706.3125,1947.375,1944.3438,2206.5312,2363.2812,4730.5938,4766.8438
295.719208,295.719208,20.89,19.58,18.99,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812,1958.3125,2229.375,2337.5938,4780.6562,4803.8438
294.284515,294.284515,20.34,18.69,19.16,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688,1933.5625,2225.75,2356.7812,4921.2188,4942.375
293.695374,293.695374,20.29,16.63,18.48,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625,1870.9062,2183.625,2367.6875,5001.4062,5031.7188
295.255524,295.255524,20.39,17.45,17.67,13.875,45,58.90625,348.8125,560.21875,1759.6562,1787.9062,2109.5,2336.25,4937.9062,4978.4062
297.06781,297.06781,23.7,19.76,18.43,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188,1690.6562,2012.8438,2264.7812,4764.5625,4809.1875
299.327515,299.327515,25.17,20.43,20.39,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938,1575.875,1895.5625,2165.7188,4545.5938,4590.2188
297.4198,297.4198,25.16,20.11,21.47,10.59375,35.78125,46.4375,261.875,425.71875,1418.875,1456,1762.875,2045.5,4298.2812,4343.25
299.629242,299.629242,26.11,20.28,20.93,10,34.78125,44.9375,239.59375,388.15625,1305.4062,1340.6875,1628.9062,1909.875,4020.4375,4066.3125
301.967682,301.967682,28.36,24.16,23.1,9.34375,32.625,42.28125,220.9375,356.21875,1205.5625,1237.9688,1505.7812,1772.125,3772.6562,3843.5625
298.98175,298.98175,24.77,22.1,22.69,9.09375,30.9375,39.71875,204.28125,329.9375,1119.125,1148.6875,1401.4062,1656.5938,3600.7812,3697.7188
297.413544,297.413544,24.53,20.69,21.14,8.84375,29.46875,37.75,191.5625,306.84375,1055.375,1077.6875,1312.1875,1560.7188,3462,3561.9062
298.536133,298.536133,25.2,20.21,22,8.5625,28.5,36.40625,182.59375,285.8125,1028.5938,1040.9375,1241.5625,1470.4375,3290.25,3379.4062
300.295776,300.295776,27.06,23.06,21.99,8.40625,28.0625,35.8125,176.375,271.5625,1007.84375,1019.40625,1198.2812,1392.8125,3120.4062,3197.625
