rzsm,cwe,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,runoff
206.20166,8.41E-06,0,286.218994,37.5683098,0,286.218994,0,0,1.52E-05,1.90E-06,12.27,15.82,8.75,10.67,23.1875
203.648163,1.86E-06,0,289.767334,60.9056129,0,289.767334,0,0,2.47E-05,1.19E-05,16.77,20.94,12.15,9.78,24.46875
200.326385,4.91E-07,0,291.680267,92.1113739,0,291.680267,0,0,3.73E-05,1.83E-05,16.64,21.79,9.86,9.96,22.625
198.075027,6.24E-06,0,291.382874,78.1767426,0,291.382874,0,0,3.17E-05,1.22E-05,16.62,21.61,11.19,11.72,20.375
199.678223,8.82E-06,0,289.612366,63.2918167,0,289.612366,0,0,2.57E-05,5.61E-06,15.83,20.17,12.09,12.89,18.40625
202.256485,1.32E-05,0,288.157501,52.258461,0,288.157501,0,0,2.12E-05,2.06E-06,14.55,17.46,12.85,13.02,17.15625
211.657516,1.45E-05,0,287.762482,45.2146912,0,287.762482,0,0,1.83E-05,9.41E-07,13.82,15.35,12.1,13.34,17.875
210.051682,7.62E-06,0,288.878632,76.1478806,0,288.878632,0,0,3.09E-05,1.02E-05,14.92,18.83,11.16,11.53,19.96875
206.831329,3.20E-06,0,289.421692,64.2827682,0,289.421692,0,0,2.61E-05,1.23E-05,15.36,19.58,10.6,11.11,19.875
203.685959,4.49E-07,0,291.869995,75.1463318,0,291.869995,0,0,3.05E-05,1.84E-05,17.35,22.56,11.5,12.1,18.34375
201.297211,2.21E-06,0,291.635834,65.5233841,0,291.635834,0,0,2.66E-05,1.29E-05,18.07,22.18,13.03,13.25,16.46875
200.251877,2.87E-06,0,289.598663,35.8645515,0,289.598663,0,0,1.45E-05,5.88E-06,16.41,19.4,12.64,14.15,14.96875
198.602509,5.02E-07,0,292.716492,65.016922,0,292.716492,0,0,2.64E-05,1.52E-05,19.22,23.82,15.02,14.1,13.875
196.3461,1.93E-06,0,295.175964,87.3358841,0,295.175964,0,0,3.54E-05,2.04E-05,21.23,27.66,14.58,15.15,12.625
194.256439,3.52E-06,0,294.713013,84.0596008,0,294.713013,0,0,3.41E-05,1.74E-05,20.11,25.4,15.22,16.48,11.34375
192.436005,1.75E-06,0,295.215088,80.9312363,0,295.215088,0,0,3.28E-05,1.76E-05,20.97,27.22,16.46,16.81,10.59375
190.236786,2.11E-06,0,296.687836,100.128906,0,296.687836,0,0,4.06E-05,2.14E-05,22.29,28.45,14.72,15.03,10
188.92511,6.18E-07,0,296.763458,65.0736237,0,296.763458,0,0,2.64E-05,1.43E-05,23.09,27.35,17.3,16.6,9.34375
187.064682,1.20E-07,0,296.028625,102.784653,0,296.028625,0,0,4.17E-05,2.00E-05,21.95,26.1,17.9,14,9.09375
185.327881,5.39E-07,0,296.043427,81.9425659,0,296.043427,0,0,3.32E-05,1.68E-05,21.8,28.58,14.42,13.03,8.84375
184.996811,6.22E-06,0,294.538605,71.5925522,0,294.538605,0,0,2.90E-05,1.09E-05,20.47,25.78,14.78,15.03,8.5625
184.857315,4.29E-06,0,295.453369,65.0375595,0,295.453369,0,0,2.64E-05,1.14E-05,20.87,25.56,15.78,16.22,8.40625
184.413361,4.71E-06,0,295.576752,69.6354752,0,295.576752,0,0,2.82E-05,1.18E-05,20.46,25.34,14.98,16,8.28125
184.212784,7.75E-06,0,295.061249,75.3755188,0,295.061249,0,0,3.06E-05,1.12E-05,21.06,25.84,15.5,15.51,8.21875
186.174011,1.46E-05,0,293.034546,70.8841019,0,293.034546,0,0,2.87E-05,4.96E-06,19.32,22.54,16.34,15.38,8.15625
189.128922,1.85E-05,0,290.831146,60.8306046,0,290.831146,0,0,2.47E-05,2.35E-06,17.52,19.73,15.8,14.67,8.1875
190.871262,1.60E-05,0,291.990784,54.5173378,0,291.990784,0,0,2.21E-05,2.98E-06,17.55,19.22,16.3,15.84,8.21875
192.442902,1.15E-05,0,293.283173,48.5680122,0,293.283173,0,0,1.97E-05,3.91E-06,18.77,21.22,16.82,17.45,8.28125
195.08371,1.33E-05,0,294.420227,53.9440956,0,294.420227,0,0,2.19E-05,3.90E-06,19.93,22.63,18.06,18.91,10.453125
201.442841,1.87E-05,0,294.319397,67.6054001,0,294.319397,0,0,2.74E-05,3.67E-06,19.64,22.07,17.82,18.96,14.171875
204.690643,1.52E-05,0,294.363831,64.0472488,0,294.363831,0,0,2.60E-05,5.36E-06,20.96,24.06,18.35,19.25,24.203125
213.067917,1.74E-05,0,293.232788,58.3162689,0,293.232788,0,0,2.36E-05,2.33E-06,18.63,23.22,14.19,18.1,29.875
211.415955,7.33E-06,0,295.06601,126.857422,0,295.06601,0,0,5.14E-05,2.35E-05,20.63,27.08,17.8,15.94,34.890625
207.323212,3.69E-06,0,296.273132,130.521164,0,296.273132,0,0,5.29E-05,2.65E-05,21.57,25.86,17.63,16.73,34.078125
201.125626,4.60E-08,0,297.584564,144.799637,0,297.584564,0,0,5.87E-05,3.66E-05,23.64,29.99,17.03,16.61,30.90625
197.186554,4.12E-06,0,298.214752,113.469986,0,298.214752,0,0,4.60E-05,2.56E-05,23.73,28.97,18.97,18.19,27.78125
197.744324,1.68E-05,0,295.927521,77.4148712,0,295.927521,0,0,3.14E-05,7.14E-06,21.65,24.53,18.83,20.2,24.984375
199.084,1.36E-05,0,296.20697,110.182198,0,296.20697,0,0,4.47E-05,1.64E-05,22.15,26.72,17.92,18.16,30.484375
198.720886,1.37E-05,0,291.449799,64.286171,0,291.449799,0,0,2.61E-05,6.15E-06,17.59,22.46,12.11,15.74,30.25
196.573486,4.33E-07,0,295.953278,100.766998,0,295.953278,0,0,4.09E-05,2.52E-05,21.16,27.95,14.56,14.17,30.328125
193.908386,2.82E-07,0,295.898987,82.4687958,0,295.898987,0,0,3.34E-05,2.04E-05,21.93,27.55,15.05,16.13,28.109375
192.11705,1.48E-06,0,296.011261,67.9047012,0,296.011261,0,0,2.75E-05,1.58E-05,22.06,26.58,17.87,16.33,25.359375
192.534622,1.59E-05,0,294.580566,62.390461,0,294.580566,0,0,2.53E-05,5.06E-06,20.51,23.28,18.68,18.63,23.921875
196.155304,2.14E-05,0,295.033234,81.030098,0,295.033234,0,0,3.29E-05,4.95E-06,20.46,23.07,18.95,19.27,23.046875
204.440842,2.13E-05,0,294.683624,65.9337387,0,294.683624,0,0,2.67E-05,2.57E-06,20.83,24.72,18.49,20.12,31.796875
215.966324,2.46E-05,0,295.023163,103.450348,0,295.023163,0,0,4.19E-05,8.03E-06,21.3,25.64,18.2,20.05,49.640625
223.388306,6.21E-06,0,294.0354,150.229904,0,294.0354,0,0,6.09E-05,3.29E-05,19.34,24.74,12.92,14.76,66.03125
215.872375,2.74E-06,0,294.076752,102.948578,0,294.076752,0,0,4.17E-05,2.65E-05,20.31,23.92,15.35,16.05,61.5
210.302017,1.22E-06,0,295.680206,114.084671,0,295.680206,0,0,4.63E-05,3.03E-05,20.87,26.29,15.87,16.41,53.171875
205.496658,2.41E-06,0,296.454803,118.696335,0,296.454803,0,0,4.81E-05,2.80E-05,21.52,26.44,16.68,17.09,47.765625
202.128052,1.18E-05,0,296.570221,118.365334,0,296.570221,0,0,4.80E-05,2.14E-05,22.03,25.91,18.86,18.34,43.25
208.205933,2.21E-05,0,294.372528,80.3169556,0,294.372528,0,0,3.26E-05,3.72E-06,19.91,22.76,18.25,19.2,45.421875
226.673706,2.01E-05,0,293.123444,82.2637177,0,293.123444,0,0,3.34E-05,4.89E-06,19.03,20.57,18.03,18.77,60.828125
234.211121,2.51E-05,0,292.959625,95.2651443,0,292.959625,0,0,3.86E-05,7.50E-06,18.49,21.51,16.63,17.96,70.90625
234.496719,1.97E-05,0,294.126495,95.9665604,0,294.126495,0,0,3.89E-05,1.07E-05,20.25,23.91,17.7,18.5,74.984375
228.49321,1.08E-05,0,295.693695,138.269333,0,295.693695,0,0,5.61E-05,2.73E-05,21.28,25.22,17.88,19.01,74.09375
221.805847,1.16E-05,0,296.851379,134.240829,0,296.851379,0,0,5.44E-05,2.56E-05,22.46,27.29,19.03,19.45,68.53125
216.885178,1.26E-05,0,297.743134,129.567688,0,297.743134,0,0,5.25E-05,2.44E-05,23.39,27.49,20.57,20.36,61.328125
213.078857,8.52E-06,0,298.931763,121.813232,0,298.931763,0,0,4.94E-05,2.67E-05,23.85,28.81,19.83,20.78,55.71875
209.701157,7.77E-06,0,298.896759,121.551125,0,298.896759,0,0,4.93E-05,2.60E-05,23.99,28.55,19.11,20.96,50.96875
208.839218,1.23E-05,0,298.235718,104.23037,0,298.235718,0,0,4.23E-05,1.85E-05,23.5,28.79,19.97,21.07,46.703125
214.28923,1.73E-05,0,296.378204,84.5678101,0,296.378204,0,0,3.43E-05,8.61E-06,22.42,26.27,18.85,20.69,44.578125
213.650269,1.36E-05,0,296.357117,100.989449,0,296.357117,0,0,4.09E-05,1.54E-05,21.97,25.86,18.97,19.92,43.375
211.676682,8.73E-06,0,296.555664,92.5783691,0,296.555664,0,0,3.75E-05,1.66E-05,22.13,26.89,18.18,19.65,40.546875
212.01001,1.76E-05,0,295.824646,116.137115,0,295.824646,0,0,4.71E-05,1.49E-05,22.21,27.49,17.77,18.18,39.046875
209.781235,2.05E-06,0,294.982391,107.343575,0,294.982391,0,0,4.35E-05,2.37E-05,20.58,25.63,16.67,15.78,39.890625
207.047211,1.19E-05,0,296.666687,110.601768,0,296.666687,0,0,4.48E-05,1.93E-05,22.68,27.14,18.87,18.71,37.328125
205.485504,1.03E-05,0,296.394653,95.9245071,0,296.394653,0,0,3.89E-05,1.62E-05,21.63,25.81,17.81,18.7,34.40625
204.473709,9.60E-06,0,296.864716,98.5233841,0,296.864716,0,0,3.99E-05,1.66E-05,22.03,26.49,17.18,18.83,31.875
202.80188,5.63E-06,0,297.752594,97.2861481,0,297.752594,0,0,3.94E-05,2.07E-05,22.64,27.32,18.1,19.23,29.75
201.120422,1.29E-05,0,298.180573,111.784637,0,298.180573,0,0,4.53E-05,1.87E-05,23.53,27.71,20.01,19.88,27.65625
202.476913,1.75E-05,0,297.485321,97.3745804,0,297.485321,0,0,3.95E-05,1.07E-05,22.98,27.29,19.94,21,25.890625
