asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
290.646759,25.5284843,290.646759,0.0000104,0.0000019,948.27,17.06,19.66,15.7,14.64,23.1875,82.625,102.5,476.46875,432.625,1363.875
292.211548,85.4158325,292.211548,0.0000346,0.0000152,949.13,19.07,22.74,14.49,14.37,24.46875,85.75,110.375,688.375,618.75,1683.4062
294.100983,124.211411,294.100983,0.0000504,0.000026,948.25,20.7,25.46,14.5,14.81,22.625,78.25,101.625,693.15625,818.53125,2109.1875
295.028564,94.3130722,295.028564,0.0000382,0.0000189,946.04,21.49,25.6,17.24,16.12,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812
293.793762,60.0916672,293.793762,0.0000244,0.00000884,944.12,19.92,22.63,17.02,16.78,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438
291.595642,-14.7827082,291.595642,-0.00000599,0.000000052,940.97,18.17,19.49,17.09,16.52,17.15625,61,80.21875,502.5,727.96875,2014.6562
291.801422,24.2826138,291.801422,0.00000984,0.00000173,939.97,18.46,19.92,16.69,16.08,17.875,65.46875,86.15625,497.125,699.15625,1924.0312
294.388458,137.499939,294.388458,0.0000557,0.0000268,942.51,21.79,27.35,15.85,15.1,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688
294.170837,82.6291656,294.170837,0.0000335,0.0000159,944.48,19.98,23.78,16.11,16.66,19.875,66.09375,87.09375,494.78125,706.3125,1947.375
295.857056,114.756798,295.857056,0.0000465,0.0000261,944.79,22.01,26.19,17.63,16.95,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812
293.720734,31.6606979,293.720734,0.0000128,0.00000509,945.23,19.55,21.49,17.8,17.55,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688
292.486389,32.4722824,292.486389,0.0000132,0.0000047,943.74,19.14,22.13,15.22,16.72,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625
294.670959,91.3894043,294.670959,0.0000371,0.0000191,942.13,20.75,24.86,17.09,16.79,13.875,45,58.90625,348.8125,560.21875,1759.6562
296.193695,115.467644,296.193695,0.0000468,0.0000268,940.77,23.8,28.95,19.01,17.79,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188
297.021515,118.579712,297.021515,0.0000481,0.000028,938.94,24.31,28.54,18.29,18.71,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938
298.010315,128.467133,298.010315,0.0000521,0.0000326,937.78,25.02,29.43,19.89,18.73,10.59375,35.78125,46.4375,261.875,425.71875,1418.875
298.921478,148.421478,298.921478,0.0000602,0.000038,937.64,26.01,31.37,20.17,20.19,10,34.78125,44.9375,239.59375,388.15625,1305.4062
