asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
279.333252,279.333252,7.41,1.44,3.1,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875,574.8906,1223.5391,1231.6406
280.875305,280.875305,7.23,0.53,3.49,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422,568.89844,1206.75,1215.3359
282.634277,282.634277,7.2,4.11,4.46,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875,563.0078,1188.8984,1197.6484
280.492218,280.492218,7.13,5.73,5.45,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125,559.9844,1177.2188,1185.4062
282.213104,282.213104,8.19,5.65,3.99,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375,560.8281,1174.7969,1182.1094
281.560059,281.560059,8.35,3.84,4.52,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875,562.71875,1175.0312,1181.7031
283.211517,283.211517,9.17,3.37,4.48,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188,562.3906,1174.2969,1180.6094
284.013916,284.013916,9.19,7.52,5.83,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625,558.34375,1173.7969,1179.8906
283.734802,283.734802,9.82,7.61,6.66,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312,551.3906,1171.7812,1178.2031
281.237854,281.237854,7.15,5.01,5.29,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312,543.59375,1167.9219,1174.9219
280.36853,280.36853,6.76,3.53,2.4,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188,536.1719,1162.7031,1170.9375
281.010193,281.010193,7.21,1.68,2.16,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312,528.9844,1150.9844,1160.625
283.702332,283.702332,9.49,1.21,3.04,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312,522.5,1130.4219,1140.3438
280.608185,280.608185,7.64,3.23,3.86,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875,517.0781,1110.8438,1119.875
283.269806,283.269806,9.1,2.21,4.58,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375,462.29688,512.2969,1095.2812,1103.4844
283.356232,283.356232,9.64,4.39,5.87,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375,458.29688,507.75,1082.7656,1090.4375
286.127808,286.127808,12.16,4.07,7.71,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188,453.95312,503.28125,1071.2344,1078.7344
285.797211,285.797211,11.72,10.26,9.23,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312,449.79688,498.95312,1060.4062,1067.7812
283.950745,283.950745,10.22,7.15,6.41,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812,445.89062,495.45312,1051,1058.1094
285.179352,285.179352,10.89,7.06,5.25,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625,442.0625,491.26562,1041.9375,1049.2031
282.204071,282.204071,7.38,6.26,5.44,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062,440.54688,487.95312,1034.8906,1041.8281
281.004883,281.004883,7.41,5.09,2.41,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688,442.76562,487.92188,1034.9219,1041.1562
280.696472,280.696472,7.42,4.19,2.86,6.1875,19.125,23.765625,110.625,161.70312,361.32812,361.54688,446.98438,489.57812,1038.6406,1044.2812
282.63205,282.63205,8.4,3.84,4,6.140625,19,23.578125,109.25,161.29688,365.48438,365.5625,449.75,491.29688,1044.2031,1049.0469
282.390656,282.390656,9.5,4.23,0.88,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375,367.60938,450.95312,492.35938,1054.6719,1058.5625
282.530518,282.530518,8.68,4.14,2.34,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188,365.5,450.875,492.57812,1068.0781,1071.6719
284.030029,284.030029,10.7,5.87,4.87,6.140625,18.828125,23.21875,107.140625,156.60938,356.82812,361.0625,448.42188,491.78125,1077.6406,1082.0625
285.805664,285.805664,10.79,8.25,6.35,6.234375,18.9375,23.375,107.3125,155.73438,351.98438,356.25,443.90625,490.125,1078.5938,1084.3438
284.475891,284.475891,11.09,6.84,7.16,6.0625,18.640625,23.171875,109.1875,155.39062,347.59375,351.57812,438.54688,487.23438,1070.9062,1077.8594
285.42865,285.42865,11.57,7.1,6.72,5.984375,18.40625,22.84375,111.703125,155.82812,344.875,348.03125,433.70312,482.9375,1057.1719,1064.8281
285.74173,285.74173,11.45,8.09,6.7,5.921875,18.25,22.65625,113.453125,156.65625,344.10938,346.26562,429.90625,477.95312,1041.2031,1049.0312
285.14505,285.14505,9.84,7.36,5.77,5.890625,18.109375,22.484375,114.46875,157.60938,344.625,346.10938,427.29688,473.21875,1025.6094,1033.2812
282.681793,282.681793,9.74,6.69,3.85,5.859375,18,22.359375,115.125,158.8125,346.23438,347.375,426.79688,469.75,1012.59375,1019.71875
282.965149,282.965149,9.65,6.21,4.66,5.828125,17.890625,22.234375,115.15625,160.29688,349.25,349.84375,429.34375,468.95312,1006.71875,1012.4531
283.539703,283.539703,9.72,6.75,4.97,5.78125,17.765625,22.078125,114,160.96875,353.35938,353.39062,432.65625,471.67188,1013.6719,1017.21875
282.86026,282.86026,8.98,3.39,4.73,5.75,17.625,21.9375,111.875,160.71875,356.34375,356.8125,435.125,475.59375,1033.2812,1035.0938
