rzsm,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,runoff
207.175552,0.000119803,273.808014,10.9784861,1.63E-07,273.808014,-7.67E-10,0.01797078,4.45E-06,4.86E-08,1.88,7.51,-3.24,-3.67,7.171875,22.570312
207.028778,2.43E-05,273.669434,11.2648697,0,273.669434,1.18E-10,0.003650039,4.57E-06,-1.66E-09,0.52,6.35,-4.31,-4.34,7.171875,22.554688
206.586243,0,274.3815,17.6929512,0,274.3815,0,0,7.17E-06,3.59E-09,0.51,6.3,-4.41,-7.3,7.15625,22.4375
206.311523,0,274.061371,9.86185169,0,274.061371,0,0,4.00E-06,-1.90E-08,0.45,5.71,-3.06,-4.38,7.046875,22.125
206.250656,0,274.364075,9.96884155,0,274.364075,0,0,4.04E-06,-1.34E-08,0.89,4.66,-2.51,-2.37,6.953125,21.859375
206.095901,0,275.858673,14.1601973,0,275.858673,0,0,5.74E-06,2.13E-07,1.62,6.77,-1.9,-1.99,6.890625,21.65625
206.042923,0,274.063599,10.5756521,0,274.063599,0,0,4.29E-06,-6.27E-09,0.87,4.9,-3.14,-1.75,6.828125,21.453125
205.699677,0,276.36853,19.4323769,0,276.36853,0,0,7.88E-06,1.94E-07,0.99,7.18,-3.18,-3.63,6.796875,21.296875
205.17334,1.98E-10,274.195251,24.5345192,0,274.195251,0,2.96E-08,9.95E-06,8.09E-14,-0.46,3.18,-3.92,-8.45,6.734375,21.125
204.667755,1.59E-07,271.501587,19.1112862,0,271.501587,0,2.38E-05,7.75E-06,-7.71E-10,-1.89,0.98,-3.87,-12.19,6.671875,20.921875
204.355499,0,272.389923,15.5316191,0,272.389923,0,0,6.30E-06,-1.28E-09,-1.1,3.55,-4.9,-10.6,6.609375,20.71875
204.092484,1.40E-06,274.108704,13.7221565,0,274.108704,0,0.00020979,5.56E-06,-4.75E-09,0.33,5.43,-3.15,-5.92,6.546875,20.515625
204.045944,0,274.557556,10.0633974,0,274.557556,0,0,4.08E-06,-1.18E-08,0.28,4.26,-3.41,-3.1,6.46875,20.3125
203.811676,0,276.28363,16.5120316,0,276.28363,0,0,6.69E-06,2.35E-07,0.93,7.48,-3.44,-4.83,6.421875,20.140625
203.872971,1.99E-07,274.489227,11.0030346,2.08E-09,274.489227,0,2.99E-05,4.46E-06,-3.46E-09,0.79,4.66,-3.9,-2,6.359375,19.953125
203.719986,0,275.163239,12.5550909,0,275.163239,0,0,5.09E-06,1.89E-07,1.76,7.99,-4,-1.84,6.296875,19.75
203.573624,0,278.376221,13.5799236,0,278.376221,0,0,5.51E-06,1.10E-07,3.49,8.44,-1.61,0.18,6.265625,19.59375
203.746628,2.56E-08,278.281433,20.9119072,0,278.281433,0,3.83E-06,8.48E-06,8.70E-08,2.6,6.82,-1.67,-1.03,6.8125,20.375
203.226242,1.91E-06,272.714813,24.9044323,2.05E-08,272.714813,0,0.000287194,1.01E-05,6.22E-14,-1.83,0.73,-4.19,-12.15,7.171875,21.03125
202.908844,0.000582424,274.302795,24.1054935,0,274.302795,8.44E-08,0.087363675,9.86E-06,4.67E-14,-0.74,4.53,-4.83,-10.44,6.84375,20.40625
202.387253,0.001277071,273.615845,23.4148026,4.59E-07,273.615845,1.40E-07,0.191561311,9.63E-06,8.67E-14,-1.6,2.59,-5.01,-13.06,6.46875,19.75
