rzsm,cwe,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,runoff
206.177933,5.16E-07,0.000347028,273.998047,13.399888,5.11E-07,273.998047,6.80E-09,0.05205496,5.44E-06,4.92E-07,1.54,7.86,-3.31,-4.12,7.171875
205.9729,3.84E-07,0.00017871,274.586578,20.6590481,1.94E-07,274.586578,2.29E-08,0.026806867,8.40E-06,3.37E-07,0.15,6.36,-4.82,-5.3,7.171875
205.342361,9.12E-08,5.62E-05,273.800781,24.4131966,6.74E-08,273.800781,2.13E-08,0.008422744,9.92E-06,3.82E-07,0.05,5.78,-4.98,-8.14,7.15625
205.072128,1.74E-08,1.83E-06,273.490875,10.5124559,3.26E-15,273.490875,0,0.000274775,4.26E-06,2.97E-07,-0.15,5.44,-3.47,-4.72,7.046875
205.065308,6.26E-07,1.06E-05,273.42453,10.2985458,1.27E-07,273.42453,0,0.001585119,4.18E-06,2.30E-07,0.58,4.71,-2.92,-3.03,6.953125
205.070267,6.57E-07,3.45E-08,275.056396,12.543478,7.18E-09,275.056396,0,5.17E-06,5.09E-06,4.61E-07,1.33,6.59,-2.52,-2.35,6.890625
205.008133,9.12E-07,0,273.826996,12.3940239,0,273.826996,0,0,5.02E-06,2.86E-07,0.3,4.91,-3.95,-2.52,6.828125
204.744919,5.89E-07,3.84E-06,274.961456,21.9650993,4.03E-09,274.961456,0,0.000575588,8.91E-06,4.63E-07,0.76,7.38,-3.97,-4.3,6.796875
204.182571,4.21E-07,3.62E-07,273.004486,30.3120518,3.09E-08,273.004486,0,5.43E-05,1.23E-05,2.67E-07,-0.68,2.81,-3.59,-8.64,6.734375
203.529694,4.29E-07,2.37E-06,270.395752,24.7444382,1.24E-08,270.395752,0,0.00035541,1.00E-05,4.90E-08,-2.13,0.39,-3.7,-12.34,6.671875
203.164108,1.44E-08,0,271.819824,20.3604488,0,271.819824,0,0,8.25E-06,2.29E-07,-1.3,3.54,-4.98,-11.64,6.609375
202.85321,1.24E-08,3.08E-06,273.335663,17.4351864,0,273.335663,0,0.000461357,7.07E-06,2.94E-07,0.22,4.99,-2.94,-6.79,6.546875
202.836426,6.16E-07,5.24E-07,273.940582,11.2744684,3.24E-08,273.940582,0,7.85E-05,4.57E-06,2.33E-07,0.1,4.6,-3.9,-3.96,6.46875
202.708862,1.13E-07,4.46E-06,274.944855,15.7647429,0,274.944855,0,0.000669465,6.39E-06,4.30E-07,0.55,7.56,-3.83,-5.31,6.421875
202.690323,1.14E-06,4.09E-07,273.795074,13.1427336,1.60E-08,273.795074,0,6.13E-05,5.33E-06,2.56E-07,0.45,4.58,-3.96,-2.63,6.359375
202.622421,1.61E-07,0,274.588348,12.4702349,0,274.588348,0,0,5.06E-06,4.49E-07,1.82,8.05,-4.03,-2.34,6.296875
202.519257,2.64E-07,0,276.861298,15.1375284,0,276.861298,0,0,6.14E-06,5.34E-07,3.23,8.94,-2.55,-0.5,6.265625
202.684067,2.66E-06,1.41E-07,277.148438,27.5014381,0,277.148438,0,2.12E-05,1.11E-05,3.34E-07,2.22,6.43,-2.09,-2.4,6.8125
202.001831,6.84E-07,2.91E-06,271.356689,32.1287689,1.19E-08,271.356689,0,0.000435889,1.30E-05,6.19E-08,-2.63,-0.38,-4.63,-13.22,7.171875
201.573532,6.31E-07,0.00087745,272.554749,28.1602154,0,272.554749,7.03E-07,0.131617635,1.21E-05,2.15E-07,-1.41,4.52,-5.75,-11.2,6.84375
200.980194,6.31E-08,0.001719036,271.776855,25.4650326,6.74E-08,271.776855,5.71E-07,0.257856458,1.09E-05,9.70E-08,-2.02,2.16,-5.88,-15.02,6.46875
200.860886,8.37E-07,0.001786399,273.470276,12.4549475,2.28E-07,273.470276,2.09E-07,0.267962158,5.26E-06,1.30E-07,-0.32,2.22,-2.25,-5.13,6.28125
200.678528,1.26E-06,0.001780293,274.658752,37.3828888,2.45E-06,274.658752,7.16E-07,0.267047167,1.59E-05,4.43E-07,0.11,6.53,-4.25,-9.96,6.1875
200.167587,1.05E-06,0.002182556,275.138611,26.2847347,2.64E-06,275.138611,5.01E-07,0.327388585,1.12E-05,3.79E-07,0.83,6.24,-3.69,-6.84,6.140625
200.658783,1.46E-06,0.00084775,273.696838,14.948123,0,273.696838,2.15E-07,0.127164677,6.28E-06,1.42E-07,0.82,3.73,-2.35,-2.4,6.078125
200.803833,1.02E-06,0.00035269,275.449554,22.3243084,6.52E-07,275.449554,1.58E-08,0.052904565,9.07E-06,5.73E-07,1.52,8.02,-3.35,-4.59,6.03125
200.305725,3.87E-07,0.000132412,276.716675,28.0272064,2.96E-07,276.716675,1.29E-08,0.019862132,1.14E-05,6.76E-07,2.06,9.24,-3.65,-5.16,6.140625
199.99469,6.67E-07,1.31E-05,275.396912,18.6710129,2.38E-08,275.396912,1.70E-09,0.001958301,7.57E-06,4.74E-07,1.67,6.29,-3.49,-2.51,6.234375
199.740082,1.19E-07,0,276.778351,21.2462597,0,276.778351,0,0,8.61E-06,6.01E-07,2.12,8.46,-2.48,-3.47,6.0625
199.360504,9.87E-09,0,275.081299,21.6408119,0,275.081299,0,0,8.77E-06,4.70E-07,2,7.94,-2.54,-5.36,5.984375
198.947937,4.70E-08,1.62E-08,275.380127,23.1591053,0,275.380127,0,2.42E-06,9.39E-06,5.68E-07,1.61,7.5,-2.49,-6.49,5.921875
198.429688,5.13E-07,6.67E-08,275.577881,32.3562584,0,275.577881,0,1.00E-05,1.31E-05,5.63E-07,1.24,6.22,-2.55,-7.71,5.890625
198.307312,8.12E-07,1.94E-06,274.248474,14.6236067,1.74E-08,274.248474,0,0.000291227,5.93E-06,2.60E-07,1.58,5.34,-1.98,-3.61,5.859375
198.342621,6.55E-07,1.95E-06,274.18454,15.6440172,9.95E-09,274.18454,0,0.000292875,6.34E-06,3.83E-07,2.16,5.68,-1.85,-2.65,5.828125
198.286697,1.06E-06,7.26E-08,276.070862,17.8799152,1.88E-09,276.070862,0,1.09E-05,7.25E-06,5.12E-07,2.35,6.05,-1.07,-1.44,5.78125
198.640305,1.83E-06,0,275.671173,16.2090969,0,275.671173,0,0,6.57E-06,3.09E-07,1.02,4.24,-1.2,-1.33,5.75
198.934235,1.24E-06,0,276.181915,15.2053614,0,276.181915,0,0,6.16E-06,3.98E-07,2.21,6.81,-2.41,-0.3,5.71875
198.863388,8.84E-07,0,278.077576,17.3622875,0,278.077576,0,0,7.04E-06,6.46E-07,4.23,10.76,-2.76,0.77,5.71875
199.201202,2.79E-06,0,277.735382,24.6986752,0,277.735382,0,0,1.00E-05,4.31E-07,3.32,9.85,-1.72,-0.28,6.21875
200.99649,1.03E-06,0.002406721,271.985565,19.1095581,0,271.985565,7.84E-07,0.361008584,8.53E-06,2.64E-08,-2.49,1.37,-6.57,-6.17,6.625
200.621872,3.27E-07,0.005832,271.01886,23.1002598,3.14E-07,271.01886,1.95E-06,0.874803245,1.13E-05,1.19E-07,-4.11,-0.12,-6.85,-10.4,6.40625
200.28772,7.44E-07,0.005134939,273.328186,19.635294,5.05E-06,273.328186,2.97E-07,0.770246744,8.26E-06,3.22E-07,-0.23,3.3,-4.24,-6.67,6.03125
201.106689,1.01E-06,0.00772432,272.474731,17.088274,0,272.474731,1.41E-06,1.15866244,8.34E-06,5.34E-08,-2.49,0.34,-6.76,-4.94,5.8125
200.818375,5.14E-07,0.00826449,271.28183,26.4067574,2.53E-07,271.28183,3.75E-06,1.2396934,1.45E-05,1.12E-07,-4.57,-0.44,-7.58,-9.54,5.71875
200.570572,6.51E-07,0.009666515,271.926788,15.9105253,1.37E-07,271.926788,8.72E-07,1.45000589,7.32E-06,7.79E-08,-2.78,-0.04,-7.75,-7.48,5.59375
200.474991,8.10E-07,0.010913757,271.452637,26.0367565,0,271.452637,3.70E-06,1.63710237,1.43E-05,7.97E-08,-2.56,-0.21,-4.48,-9.16,5.53125
199.835281,5.02E-07,0.009166099,271.077271,21.1556015,7.94E-07,271.077271,1.78E-06,1.37495089,1.04E-05,1.42E-07,-2.39,0.74,-6.93,-11.44,5.46875
199.585754,6.50E-07,0.006511373,271.715057,18.8066444,4.48E-06,271.715057,7.55E-07,0.976733625,8.38E-06,2.60E-07,-0.63,2.92,-3.41,-8.54,5.4375
199.52301,6.74E-07,0.003604877,272.418396,16.5510387,4.52E-06,272.418396,4.49E-07,0.540747583,7.16E-06,2.88E-07,0.29,4.28,-3.11,-4.86,5.375
199.355087,7.02E-07,0.001502679,273.949005,17.739378,3.13E-06,273.949005,6.29E-08,0.225408271,7.26E-06,4.58E-07,2.24,7.75,-2.37,-3.27,5.5
199.053116,7.02E-07,0.000505749,276.042389,17.7017479,1.31E-06,276.042389,1.86E-09,0.075864554,7.18E-06,7.14E-07,5.17,11.71,-1.29,-1.44,6.75
198.563995,5.68E-07,8.15E-05,278.735168,24.0217113,4.73E-07,278.735168,7.64E-12,0.012223763,9.74E-06,1.06E-06,6.19,13.22,-0.27,-0.16,11.75
198.093369,1.42E-07,0,278.616364,20.4115276,0,278.616364,0,0,8.28E-06,9.04E-07,5.81,11.79,1.16,1.11,17.65625
197.303894,5.80E-07,0,281.992035,48.6134682,0,281.992035,0,0,1.97E-05,1.47E-06,6.51,13.23,0.42,-1.27,22.15625
196.1064,8.65E-08,0,282.565308,39.1691132,0,282.565308,0,0,1.59E-05,1.69E-06,8.03,15.27,0.18,-0.14,26.34375
196.133743,5.90E-07,0,280.671051,17.1068344,0,280.671051,0,0,6.94E-06,5.62E-07,6.31,12.66,0.1,2.89,29.21875
196.098633,1.81E-06,0,283.177307,27.3556957,0,283.177307,0,0,1.11E-05,1.15E-06,8.79,13.74,0.2,5.35,29.8125
198.607422,1.33E-06,0,278.661621,20.109333,0,278.661621,0,0,8.15E-06,3.58E-07,3.97,9.9,-2.45,1.27,30.1875
198.883133,2.21E-06,0,280.799316,27.4788857,0,280.799316,0,0,1.11E-05,6.85E-07,5.58,11.67,-1.92,2.49,29.4375
201.170593,2.52E-06,0,276.676208,25.6072369,0,276.676208,0,0,1.04E-05,2.24E-07,1.84,5.14,-0.69,-0.78,28.5625
203.200104,1.28E-06,2.66E-06,275.930359,19.1665401,1.78E-15,275.930359,0,0.00039912,7.77E-06,4.73E-07,1.43,5.98,-2.49,-2.17,28.125
202.37851,2.64E-06,0,277.931091,28.9505253,0,277.931091,0,0,1.17E-05,6.22E-07,2.38,7.03,-1.89,-1.79,25.5
202.834808,1.99E-06,0.000711075,275.452606,26.5052891,0,275.452606,5.87E-08,0.106661364,1.08E-05,3.07E-07,-0.11,4.18,-3.95,-3.98,23.34375
202.920807,1.61E-06,0.001937923,275.40686,19.9841194,6.07E-08,275.40686,8.17E-08,0.290689439,8.18E-06,3.04E-07,-0.35,3.91,-4.19,-3.28,20.96875
202.631821,1.85E-06,0.000649332,275.279297,30.633688,1.41E-06,275.279297,2.46E-07,0.097400375,1.27E-05,4.17E-07,0.02,2.94,-3.89,-2.93,18.6875
201.670578,4.92E-08,0.0003642,270.298004,41.0615349,0,270.298004,4.12E-07,0.054630432,1.71E-05,1.20E-07,-4.56,0.26,-11.16,-13.16,16.65625
200.382278,4.41E-08,0.0002292,271.115997,23.625845,7.86E-08,271.115997,5.70E-08,0.034380406,9.64E-06,3.43E-07,-2.12,1.67,-7.39,-13.37,14.6875
199.584656,2.48E-07,5.05E-05,275.225098,24.4679222,2.01E-07,275.225098,1.72E-08,0.007574897,9.94E-06,8.25E-07,2.15,7.71,-2.67,-5.27,12.9375
198.936935,8.45E-09,0,278.104889,22.320734,0,278.104889,0,0,9.05E-06,1.09E-06,5.46,11.71,-0.74,-0.19,12.6875
198.064224,-2.55E-08,0,282.599274,33.3448715,0,282.599274,0,0,1.35E-05,2.17E-06,8.56,16.1,0.11,2.2,16
198.177444,1.73E-06,0,284.416626,38.7967949,0,284.416626,0,0,1.57E-05,1.81E-06,10.54,16.16,1.13,6.46,17.8125
201.874557,1.02E-06,0,277.577209,48.4156265,0,277.577209,0,0,1.96E-05,6.12E-07,2.81,6.23,-1.88,-3.6,23.0625
200.690796,6.50E-07,0,275.801178,27.6394882,0,275.801178,0,0,1.12E-05,6.56E-07,2.56,8.43,-1.89,-4.99,23.71875
199.834686,3.81E-08,0,279.483337,27.8707008,0,279.483337,0,0,1.13E-05,1.43E-06,6.8,12.16,-0.78,0.29,21.5625
198.681244,9.36E-08,0,282.935638,45.3467293,0,282.935638,0,0,1.84E-05,2.78E-06,10.3,16.29,3.2,1.28,19.34375
197.381348,-7.88E-09,0,285.095337,42.8291626,0,285.095337,0,0,1.74E-05,3.13E-06,12.01,19.7,5.35,4.92,17.25
195.866028,1.90E-08,0,286.68515,76.896843,0,286.68515,0,0,3.12E-05,3.68E-06,12,21.29,1.97,0.53,15.3125
194.00119,1.02E-07,0,281.680206,51.0393143,0,281.680206,0,0,2.07E-05,2.23E-06,6.34,13.56,1.61,-4.96,13.5625
193.756012,2.23E-06,0,285.694336,58.8799629,0,285.694336,0,0,2.39E-05,2.22E-06,11.68,17.57,3.59,4.22,12.0625
197.826355,2.58E-06,0,277.929749,45.6024094,0,277.929749,0,0,1.85E-05,7.87E-07,3.19,7.82,0.62,-0.62,11.34375
200.35463,2.78E-06,0,278.656464,25.2617455,0,278.656464,0,0,1.02E-05,7.05E-07,4.4,7.05,1.27,1.1,15.875
201.225342,1.15E-06,0,274.898682,40.5275536,0,274.898682,0,0,1.64E-05,7.28E-07,2.04,6.2,-2.24,-4.09,16.84375
199.887253,2.14E-07,0,278.814301,34.6609344,0,278.814301,0,0,1.41E-05,1.63E-06,3.86,8.52,-1.16,-5.53,15.71875
199.46051,1.78E-06,0,277.648682,20.7774506,0,277.648682,0,0,8.42E-06,7.42E-07,2.62,6.97,-4.34,-0.66,14.125
198.591705,3.98E-07,0,281.635437,37.5933533,0,281.635437,0,0,1.52E-05,2.47E-06,7.63,14.38,-0.33,0.38,13.78125
197.941177,1.37E-06,0,283.703766,50.7539711,0,283.703766,0,0,2.06E-05,2.72E-06,9.18,13.56,2.12,3.4,13.59375
200.897507,3.40E-06,0,281.443726,21.6463127,0,281.443726,0,0,8.78E-06,3.95E-07,8.04,11.8,4.04,5.78,15.03125
200.289322,1.05E-06,0,283.093903,36.8742752,0,283.093903,0,0,1.50E-05,2.63E-06,9.06,14.4,5.03,3.12,14.875
202.883774,3.22E-06,0,277.79129,37.0435219,0,277.79129,0,0,1.50E-05,2.46E-07,4.08,10.13,-0.5,1.56,13.46875
201.922379,9.03E-09,0,278.266541,43.1248436,0,278.266541,0,0,1.75E-05,2.32E-06,4.76,10.84,-0.07,-4.57,17.9375
200.60112,9.21E-07,0,280.698914,35.8427086,0,280.698914,0,0,1.45E-05,1.98E-06,7.93,12.35,2.7,1.19,17.8125
199.831848,1.92E-06,0,280.209869,28.9396038,0,280.209869,0,0,1.17E-05,1.43E-06,6.49,10.47,0.47,2.99,17.03125
198.660995,4.76E-07,0,284.115601,39.2014618,0,284.115601,0,0,1.59E-05,3.37E-06,10.69,17.47,2.63,4.38,15.9375
196.810638,1.23E-06,0,285.686188,88.6802063,0,285.686188,0,0,3.60E-05,5.09E-06,10.39,17.18,2.95,0.4,14.25
194.941132,6.03E-07,0,284.012726,45.661705,0,284.012726,0,0,1.85E-05,2.96E-06,9.02,14.33,4.59,3.63,13.78125
196.863205,2.65E-06,0,280.259033,18.5984478,0,280.259033,0,0,7.54E-06,3.90E-07,5.48,8.32,2.44,4.68,12.78125
196.909363,1.08E-06,0,282.095886,32.2877312,0,282.095886,0,0,1.31E-05,2.36E-06,8.14,14.16,3.25,3.9,14.6875
195.847443,2.10E-07,0,286.437531,50.2995529,0,286.437531,0,0,2.04E-05,3.73E-06,12.23,18.85,4.89,5.09,14.21875
195.011642,2.17E-06,0,284.461182,30.6657619,0,284.461182,0,0,1.24E-05,1.84E-06,9.28,12.38,5.58,4.43,12.6875
196.336319,4.15E-06,0,284.079834,26.7404022,0,284.079834,0,0,1.08E-05,9.41E-07,10.31,14.59,1.65,7.83,12.125
198.087769,1.33E-06,0,275.582977,42.5861893,0,275.582977,0,0,1.73E-05,5.43E-07,0.88,2.44,-1.35,-6.52,13.5625
198.739517,2.58E-06,0.008164638,274.562653,24.1696758,0,274.562653,1.18E-06,1.22469699,1.10E-05,2.28E-07,0.06,2.92,-4.69,-3.87,13.15625
201.508209,1.75E-06,0.009407641,276.546173,27.2787399,3.69E-05,276.546173,7.24E-07,1.41114962,1.18E-05,9.16E-07,2.93,7.71,-4.44,-1.37,12.75
201.296997,2.36E-06,0.0010427,281.251953,39.8624802,8.68E-06,281.251953,-2.99E-08,0.156405538,1.61E-05,2.82E-06,7.54,13.83,1.9,2.24,13.03125
199.853989,3.88E-07,1.93E-05,283.153717,35.2124481,2.08E-07,283.153717,-3.13E-09,0.002899075,1.43E-05,3.40E-06,9.33,14.69,4.29,4.91,15.46875
198.899521,8.08E-07,0,285.884064,27.0340519,0,285.884064,0,0,1.10E-05,2.57E-06,10.89,14.67,6.1,7.46,15.46875
197.690491,1.60E-06,0,288.241547,48.6205215,0,288.241547,0,0,1.97E-05,4.69E-06,14.34,20.13,8.63,9.28,14.09375
198.179794,4.39E-06,0,288.213684,39.6162071,0,288.213684,0,0,1.61E-05,2.51E-06,13.39,17.45,10.47,10.74,12.625
206.648239,5.60E-06,0,283.938171,29.2041397,0,283.938171,0,0,1.18E-05,3.02E-07,10.03,12.54,5.93,9.5,16.34375
207.227158,2.31E-06,0,282.00177,69.2210922,0,282.00177,0,0,2.81E-05,4.30E-06,7.38,11.28,3.54,1.36,27.8125
203.868271,2.91E-08,0,281.653595,63.3758163,0,281.653595,0,0,2.57E-05,5.80E-06,9.02,14.94,1.85,-2.12,29.78125
201.189499,1.67E-08,0,284.986969,60.7877731,0,284.986969,0,0,2.46E-05,6.32E-06,11.31,16.09,5.42,2.92,27.15625
200.48703,4.83E-06,0,284.21405,44.7977638,0,284.21405,0,0,1.82E-05,2.77E-06,9.76,13.63,6.05,5.85,24.28125
200.399246,9.05E-07,0,280.297424,66.4154129,0,280.297424,0,0,2.69E-05,4.23E-06,8.26,13.42,3.48,-3.74,24.53125
198.115173,2.24E-09,0,283.44043,59.8437233,0,283.44043,0,0,2.43E-05,6.04E-06,9.88,15.32,4.27,0.75,22.71875
196.260834,4.55E-09,0,286.744507,67.5638275,0,286.744507,0,0,2.74E-05,6.86E-06,11.96,18.56,2.94,4.57,20.34375
194.30719,7.19E-09,0,287.115692,57.7871437,0,287.115692,0,0,2.34E-05,7.20E-06,13.93,20.74,7.11,3.34,18.21875
193.713837,2.16E-06,0,288.231262,50.6116829,0,288.231262,0,0,2.05E-05,5.33E-06,14.11,21.8,6.26,8.56,16.25
192.650818,1.64E-06,0,290.427307,70.1626587,0,290.427307,0,0,2.84E-05,8.12E-06,15.68,22.67,8.2,6.36,15.65625
191.478012,2.49E-06,0,291.568451,62.7464371,0,291.568451,0,0,2.54E-05,7.14E-06,16.2,23,9.7,9.78,14.46875
190.581696,4.13E-06,0,292.769623,62.6531601,0,292.769623,0,0,2.54E-05,6.81E-06,17.75,23.45,12.25,12.8,13.03125
195.931503,5.33E-06,0,288.838684,24.6573696,0,288.838684,0,0,1.00E-05,4.96E-07,13.51,16.71,9.35,13.06,11.78125
195.743942,8.62E-07,0,293.481171,86.9238052,0,293.481171,0,0,3.52E-05,9.37E-06,18.24,24.59,12.33,11.7,17.3125
194.38768,4.07E-06,0,286.975952,74.1286774,0,286.975952,0,0,3.01E-05,4.31E-06,11.7,14.84,8.22,5.85,17.71875
194.376724,6.59E-07,0,287.237854,50.1527214,0,287.237854,0,0,2.03E-05,6.28E-06,13.22,19.51,8.56,6.88,19.71875
193.50621,1.20E-06,0,288.164459,43.67379,0,288.164459,0,0,1.77E-05,5.16E-06,13.08,15.74,10.54,8.31,18.90625
192.723846,1.03E-06,0,289.873627,63.7070351,0,289.873627,0,0,2.58E-05,6.09E-06,15.91,21.75,9.99,8.13,17
191.108658,5.08E-08,0,285.877167,48.5214844,0,285.877167,0,0,1.97E-05,4.93E-06,10.77,14.19,7.67,0.48,15.15625
190.053772,2.00E-07,0,288.304688,53.0544281,0,288.304688,0,0,2.15E-05,7.00E-06,14.51,20.04,8.72,7.76,13.5
189.326553,4.49E-06,0,289.748535,58.5975876,0,289.748535,0,0,2.38E-05,6.44E-06,15.56,20.26,11.79,10.33,12.03125
192.375031,7.95E-06,0,286.098938,32.5121078,0,286.098938,0,0,1.32E-05,8.61E-07,12.6,15.2,10.31,10.81,11.0625
194.633316,7.71E-06,0,285.652252,33.2942047,0,285.652252,0,0,1.35E-05,1.20E-06,12.3,15.41,9.16,10.29,11.25
195.349106,4.07E-06,0,287.159454,37.6251755,0,287.159454,0,0,1.53E-05,3.55E-06,13.06,16.66,9.94,9.58,11.65625
196.414474,7.16E-06,0,286.30899,31.2085037,0,286.30899,0,0,1.27E-05,1.22E-06,11.76,13.62,10.06,10.14,11.28125
199.694702,6.52E-06,0,285.896698,24.9198399,0,285.896698,0,0,1.01E-05,7.20E-07,11.36,14.16,8.57,10.78,11.4375
200.202728,7.01E-06,0,285.177002,53.1298332,0,285.177002,0,0,2.15E-05,3.33E-06,10.5,17.02,4.47,7.72,11.46875
199.156265,9.25E-07,0,286.11084,57.9033432,0,286.11084,0,0,2.35E-05,8.36E-06,12.45,16.88,7.41,4.73,12.78125
196.72937,5.35E-07,0,289.492493,79.3681488,0,289.492493,0,0,3.22E-05,1.25E-05,15.48,20.77,9.98,6.43,12.53125
197.004562,8.85E-06,0,287.078247,42.2934227,0,287.078247,0,0,1.71E-05,2.28E-06,12.2,14.54,10.46,9.93,11.4375
196.922653,1.77E-06,0,287.370453,58.291584,0,287.370453,0,0,2.36E-05,7.42E-06,14.1,17.71,10.94,8.65,13.1875
194.798981,1.70E-07,0,290.629639,69.4002304,0,290.629639,0,0,2.81E-05,1.25E-05,16.84,22.78,9.35,9.6,13.03125
192.886703,3.44E-08,0,293.065582,67.3001709,0,293.065582,0,0,2.73E-05,1.23E-05,18.36,24.35,11.42,12.35,11.75
190.842148,1.90E-07,0,294.974457,89.0299149,0,294.974457,0,0,3.61E-05,1.42E-05,18.84,25.05,13.06,13.36,10.625
190.249573,9.70E-06,0,293.422028,97.4441605,0,293.422028,0,0,3.95E-05,1.06E-05,19.53,25.15,13.54,14.56,9.75
198.002838,1.05E-05,0,287.0159,47.7080956,0,287.0159,0,0,1.93E-05,1.51E-06,12.75,14.11,10.64,11.2,12.71875
198.463882,8.78E-07,0,289.450043,54.0591278,0,289.450043,0,0,2.19E-05,8.74E-06,15.7,21.94,9.96,10.52,15.09375
196.490845,1.24E-07,0,292.02124,58.422966,0,292.02124,0,0,2.37E-05,1.19E-05,17.42,22.82,12.79,12.56,14.5
194.708221,2.12E-06,0,293.365967,67.9648056,0,293.365967,0,0,2.76E-05,1.24E-05,18.9,23.67,12.88,12.98,13.03125
195.962769,1.29E-05,0,291.865112,96.5145416,0,291.865112,0,0,3.91E-05,7.82E-06,17.49,23.77,12.44,15.01,11.65625
202.714691,1.07E-05,0,286.097595,39.8063812,0,286.097595,0,0,1.61E-05,7.28E-07,12.02,13.65,10.6,11.66,15.6875
206.20166,8.41E-06,0,286.218994,37.5683098,0,286.218994,0,0,1.52E-05,1.90E-06,12.27,15.82,8.75,10.67,23.1875
203.648163,1.86E-06,0,289.767334,60.9056129,0,289.767334,0,0,2.47E-05,1.19E-05,16.77,20.94,12.15,9.78,24.46875
200.326385,4.91E-07,0,291.680267,92.1113739,0,291.680267,0,0,3.73E-05,1.83E-05,16.64,21.79,9.86,9.96,22.625
198.075027,6.24E-06,0,291.382874,78.1767426,0,291.382874,0,0,3.17E-05,1.22E-05,16.62,21.61,11.19,11.72,20.375
199.678223,8.82E-06,0,289.612366,63.2918167,0,289.612366,0,0,2.57E-05,5.61E-06,15.83,20.17,12.09,12.89,18.40625
202.256485,1.32E-05,0,288.157501,52.258461,0,288.157501,0,0,2.12E-05,2.06E-06,14.55,17.46,12.85,13.02,17.15625
211.657516,1.45E-05,0,287.762482,45.2146912,0,287.762482,0,0,1.83E-05,9.41E-07,13.82,15.35,12.1,13.34,17.875
210.051682,7.62E-06,0,288.878632,76.1478806,0,288.878632,0,0,3.09E-05,1.02E-05,14.92,18.83,11.16,11.53,19.96875
206.831329,3.20E-06,0,289.421692,64.2827682,0,289.421692,0,0,2.61E-05,1.23E-05,15.36,19.58,10.6,11.11,19.875
203.685959,4.49E-07,0,291.869995,75.1463318,0,291.869995,0,0,3.05E-05,1.84E-05,17.35,22.56,11.5,12.1,18.34375
201.297211,2.21E-06,0,291.635834,65.5233841,0,291.635834,0,0,2.66E-05,1.29E-05,18.07,22.18,13.03,13.25,16.46875
200.251877,2.87E-06,0,289.598663,35.8645515,0,289.598663,0,0,1.45E-05,5.88E-06,16.41,19.4,12.64,14.15,14.96875
198.602509,5.02E-07,0,292.716492,65.016922,0,292.716492,0,0,2.64E-05,1.52E-05,19.22,23.82,15.02,14.1,13.875
196.3461,1.93E-06,0,295.175964,87.3358841,0,295.175964,0,0,3.54E-05,2.04E-05,21.23,27.66,14.58,15.15,12.625
194.256439,3.52E-06,0,294.713013,84.0596008,0,294.713013,0,0,3.41E-05,1.74E-05,20.11,25.4,15.22,16.48,11.34375
192.436005,1.75E-06,0,295.215088,80.9312363,0,295.215088,0,0,3.28E-05,1.76E-05,20.97,27.22,16.46,16.81,10.59375
190.236786,2.11E-06,0,296.687836,100.128906,0,296.687836,0,0,4.06E-05,2.14E-05,22.29,28.45,14.72,15.03,10
