ssm,rzsm,tws,asst,psm,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,runoff
5.85987186,291.590759,1997.21912,277.824127,1997.21533,277.824127,1.22E-06,3.46,9.14,-1.45,0.85,7.171875,22.570312,27.976562,130.19531,186.36719
5.88301277,291.661987,1996.87744,276.651978,1996.86829,276.651978,3.84E-07,1.12,5.45,-2.98,-0.86,7.171875,22.554688,27.984375,129.75,184.64844
5.84737062,291.307465,1996.10706,281.30484,1996.09912,281.30484,1.88E-06,6.47,11.86,-3.03,1.39,7.15625,22.4375,27.84375,128.82031,183.13281
5.8475852,290.972473,1995.35474,280.0401,1995.33557,280.0401,1.24E-06,5.39,9.31,2.95,2.57,7.046875,22.125,27.484375,127.734375,182.21875
5.90380383,291.38501,1995.34753,277.993378,1995.31665,277.993378,3.74E-07,3.86,5.7,0.61,2.15,6.953125,21.859375,27.125,126.546875,181.48438
5.84311104,291.171967,1994.7002,280.182373,1994.69043,280.182373,1.48E-06,5.17,10.68,0.39,2.03,6.890625,21.65625,26.84375,125.1875,180.35938
5.87756538,291.2146,1994.32739,278.413757,1994.3158,278.413757,4.87E-07,3.6,7.31,-0.22,1.96,6.828125,21.453125,26.609375,124.125,178.89062
5.83415127,290.913422,1993.59863,280.533691,1993.5968,280.533691,1.45E-06,5.43,9.79,-0.29,2.49,6.796875,21.296875,26.40625,123.828125,177.32812
5.76690006,290.141296,1992.39685,280.942719,1992.39551,280.942719,1.96E-06,6.23,11.19,0.82,-1.62,6.734375,21.125,26.1875,123.265625,175.90625
5.72596455,288.702698,1990.48792,277.779541,1990.48682,277.779541,1.95E-06,3.75,9,-0.02,-5.99,6.671875,20.921875,25.953125,121.984375,174.71875
5.76390266,287.928864,1989.17944,276.185028,1989.17932,276.185028,1.39E-06,4,8.45,-0.29,-3.08,6.609375,20.71875,25.703125,120.546875,173.5
5.75262594,287.526855,1988.21741,279.019379,1988.2135,279.019379,1.42E-06,4.65,9.41,0.16,-0.26,6.546875,20.515625,25.453125,119.171875,171.9375
5.78216076,287.433777,1987.55396,279.466156,1987.54602,279.466156,5.58E-07,4.31,7.3,2.27,1.21,6.46875,20.3125,25.203125,117.96875,170.1875
5.73136711,286.912567,1986.4519,281.94165,1986.44702,281.94165,2.09E-06,6.72,13.1,2.06,1.57,6.421875,20.140625,24.984375,116.828125,168.4375
5.81805372,287.220612,1986.18347,278.428284,1986.16589,278.428284,3.80E-07,5.12,7.73,1.31,3.4,6.359375,19.953125,24.765625,115.828125,166.79688
5.78429365,287.381897,1985.77209,278.660492,1985.75061,278.660492,6.15E-07,4.84,9.15,1.28,2.36,6.296875,19.75,24.546875,114.828125,165.34375
5.79623079,287.483948,1985.31958,281.155212,1985.28845,281.155212,6.55E-07,6.6,9.22,1.76,3.96,6.265625,19.59375,24.328125,113.75,163.875
5.79771376,287.83075,1985.09998,282.90567,1985.08105,282.90567,6.99E-07,7.44,9.95,4.06,3.46,6.8125,20.375,24.984375,113.25,162.64062
5.63883829,286.617126,1983.32581,279.585449,1983.32471,279.585449,1.47E-06,4.62,5.7,3.06,-9.25,7.171875,21.03125,25.9375,114.125,162.07812
5.73186159,285.746307,1981.85864,280.014496,1981.85254,280.014496,9.39E-07,5.65,9.37,1.89,-3.37,6.84375,20.40625,25.484375,115.25,161.95312
5.69721699,285.215424,1980.6969,278.654755,1980.68457,278.654755,1.04E-06,4.09,6.94,1.84,-3.98,6.46875,19.75,24.609375,114.546875,161.39062
5.8398757,285.859985,1980.71179,279.01712,1980.68445,279.01712,2.72E-07,4.21,5.56,2.66,2.47,6.28125,19.359375,24.0625,112.578125,161.26562
5.75002432,286.339722,1980.5741,279.013855,1980.56311,279.013855,1.26E-06,6.24,12,-1.1,0.46,6.1875,19.125,23.765625,110.625,161.70312
5.72293234,285.899658,1979.55176,281.285065,1979.54553,281.285065,1.93E-06,6.01,11.82,-1.27,0.57,6.140625,19,23.578125,109.25,161.29688
5.86799288,286.73288,1979.8114,279.406982,1979.79797,279.406982,5.18E-07,4.89,8.69,0.38,2.3,6.078125,18.84375,23.40625,108.65625,159.4375
5.73059273,286.706421,1979.22852,280.831177,1979.22742,280.831177,2.01E-06,6.71,12.98,0.24,0.53,6.03125,18.671875,23.203125,107.984375,157.84375
5.73620415,286.157623,1978.13135,282.031311,1978.12793,282.031311,2.30E-06,8.17,14.29,0.42,2.26,6.140625,18.828125,23.21875,107.140625,156.60938
5.74191093,285.932892,1977.34949,282.021118,1977.3313,282.021118,1.49E-06,7.89,12.84,3.11,3.81,6.234375,18.9375,23.375,107.3125,155.73438
5.71102619,285.567566,1976.39465,282.387207,1976.38916,282.387207,1.83E-06,8.28,13.61,2.57,3.21,6.0625,18.640625,23.171875,109.1875,155.39062
5.71497917,285.182007,1975.41589,280.845886,1975.41296,280.845886,1.35E-06,7.08,11.93,1.15,3.07,5.984375,18.40625,22.84375,111.703125,155.82812
5.67071724,284.565979,1974.23303,281.485748,1974.23047,281.485748,2.32E-06,7.59,12.38,0.99,1.19,5.921875,18.25,22.65625,113.453125,156.65625
5.67003441,283.82724,1972.93579,281.416748,1972.92651,281.416748,2.35E-06,8.72,13.43,4.28,1.74,5.890625,18.109375,22.484375,114.46875,157.60938
5.72089577,283.878632,1972.41711,279.109558,1972.38867,279.109558,7.36E-07,6.02,9.24,3.37,2.6,5.859375,18,22.359375,115.125,158.8125
5.73340988,284.168274,1972.11316,279.107788,1972.09766,279.107788,8.99E-07,7.31,9.75,3.54,3.53,5.828125,17.890625,22.234375,115.15625,160.29688
5.74048471,284.471924,1971.85217,280.056732,1971.84021,280.056732,7.70E-07,7.37,10.17,4.96,4.15,5.78125,17.765625,22.078125,114,160.96875
5.75966692,284.803589,1971.65076,281.967896,1971.63708,281.967896,8.62E-07,7.95,10.88,4.92,4.36,5.75,17.625,21.9375,111.875,160.71875
5.76078606,285.21402,1971.5564,281.046356,1971.5354,281.046356,5.43E-07,6.6,9.96,2.48,4.2,5.71875,17.59375,22,110.28125,160.34375
5.703403,284.924072,1970.76917,283.333527,1970.74683,283.333527,1.92E-06,9.73,15.29,1.93,5.52,5.71875,17.5625,22.125,110.28125,160.25
5.72318077,284.673065,1970.00171,283.997864,1969.98889,283.997864,1.59E-06,10.24,14.99,4.31,6.19,6.21875,18.8125,22.875,111.375,159.4375
5.87806559,286.238556,1971.06494,278.493591,1971.0575,278.493591,1.70E-07,4.31,5.92,2.62,0.39,6.625,20.40625,24.75,117.46875,162.28125
5.74659777,286.06601,1970.42957,278.051666,1970.42725,278.051666,1.40E-06,3.81,8.7,0.57,-3.91,6.40625,20.34375,25.71875,133.96875,171.6875
5.76129341,285.713013,1969.63159,279.708557,1969.62354,279.708557,1.69E-06,5.43,9.96,0.94,-1.14,6.03125,19.09375,24.40625,147.03125,180.9375
5.9237771,287.688965,1971.19897,276.338928,1971.17603,276.338928,2.25E-07,2.12,5.33,-1.15,0.79,5.8125,18.28125,23.28125,145.5625,191.875
5.80101824,287.788971,1970.92139,277.826385,1970.91443,277.826385,9.64E-07,3.76,7.58,-0.95,-2.84,5.71875,18.03125,23.4375,137.96875,202.28125
5.85577583,288.340302,1971.13489,275.605621,1971.12231,275.605621,7.58E-07,1.88,4.84,-1.12,-3.08,5.59375,17.46875,22.84375,130.75,203.5625
5.81883335,288.615204,1971.08264,277.121796,1971.07947,277.121796,9.78E-07,2.58,7.04,-1.21,-3.34,5.53125,17.15625,22.21875,123.15625,197.8125
5.7344203,287.712708,1969.86096,277.221039,1969.85706,277.221039,1.51E-06,3.49,7.37,-0.34,-5.09,5.46875,16.96875,21.8125,116.125,189.15625
5.76075697,287.151398,1968.94421,276.643921,1968.94092,276.643921,1.21E-06,3.34,8.15,-0.63,-2.83,5.4375,16.8125,21.5,110.9375,180.03125
5.77332544,287.00882,1968.43176,275.270111,1968.42517,275.270111,6.11E-07,2.52,5.66,-0.55,-0.82,5.375,16.6875,21.34375,107.3125,171.28125
5.74356127,286.63678,1967.67883,277.984528,1967.67371,277.984528,1.34E-06,3.44,7.79,-0.19,-0.15,5.5,17.9375,22.21875,104.90625,163.28125
5.73689365,286.189545,1966.8429,279.726654,1966.83252,279.726654,1.71E-06,6.08,11.83,-0.02,1.47,6.75,21.9375,25.59375,105.5625,157.09375
5.71524143,285.660889,1965.89844,282.016205,1965.89319,282.016205,2.22E-06,8,14.66,1.84,3.84,11.75,32.8125,35.3125,113.25,155.4375
5.71522713,285.229187,1965.0437,282.267517,1965.03418,282.267517,1.45E-06,8.06,12.65,3.35,4.18,17.65625,45.90625,50.03125,134.59375,162.125
5.63985205,284.289368,1963.64709,285.782623,1963.64478,285.782623,3.81E-06,11.61,19.26,4.5,3.75,22.15625,53.3125,59.4375,170.5625,173.40625
5.5799613,282.499481,1961.35901,287.730103,1961.35596,287.730103,5.43E-06,12.55,20.58,4.73,5.6,26.34375,61.9375,68.4375,208.8125,192.71875
5.67988777,282.202759,1960.51733,285.92984,1960.50269,285.92984,1.68E-06,12.85,17.45,7.33,9.09,29.21875,71.3125,79.40625,266.1875,229.5625
5.7349453,282.390381,1960.14441,287.289001,1960.12415,287.289001,1.42E-06,13.94,17.56,8.31,10.06,29.8125,73.4375,83.28125,350,287.875
5.73527288,283.493866,1960.7179,286.500488,1960.70508,286.500488,1.54E-06,10.77,17.08,5.4,6.29,30.1875,74.625,84.75,419.96875,376.03125
5.73227787,283.374329,1960.1488,286.887817,1960.14087,286.887817,1.78E-06,12.84,18.71,6.56,8.47,29.4375,72.09375,82.71875,452.34375,466.34375
6.08614779,285.799042,1962.19067,281.859039,1962.17639,281.859039,4.76E-07,6.58,8.91,3.62,5.16,28.5625,68.96875,79.1875,448.125,521.03125
5.77224827,288.190857,1964.35669,281.361267,1964.35107,281.361267,2.83E-06,8.05,12.85,3.48,2.57,28.125,69.71875,80.71875,445.375,548.78125
5.86409903,288.100983,1964.11462,282.512573,1964.10327,282.512573,1.47E-06,7.87,11.02,4.23,3.84,25.5,63.75,75.6875,445.25,557.4375
5.99004936,289.600067,1965.4552,281.139191,1965.44141,281.139191,9.11E-07,6.23,9.67,3.3,3.2,23.34375,58.8125,69.84375,421.5,548.4375
5.83895636,290.407135,1966.15393,281.207336,1966.14038,281.207336,2.23E-06,7.87,11.97,3.19,1.67,20.96875,53.1875,64.03125,397.4375,530.25
5.98441076,290.998108,1966.65149,279.972321,1966.63696,279.972321,5.69E-07,5.33,6.81,2.54,2.32,18.6875,47.5,57.46875,370,504.75
5.73085356,290.642334,1966.23474,278.791473,1966.23364,278.791473,2.42E-06,4.95,10.09,-0.57,-8.17,16.65625,42.625,52.125,338.40625,478.875
5.73405457,288.657013,1964.17102,276.370941,1964.17078,276.370941,2.54E-06,4.48,9.19,-0.57,-7.91,14.6875,37.59375,46.34375,307.40625,448.34375
5.72581148,287.527344,1962.901,280.540344,1962.90088,280.540344,2.67E-06,6.37,12,0.86,-0.78,12.9375,33.1875,40.9375,275.28125,411.375
5.72777843,286.594879,1961.78125,281.920441,1961.78064,281.920441,2.59E-06,8.29,13.13,2.36,3.18,12.6875,32.40625,38.6875,246.9375,374.125
5.68411064,285.509125,1960.4668,285.478119,1960.46582,285.478119,4.49E-06,11.53,18.15,3.26,6.09,16,38.03125,42.5,229.0625,341.03125
5.7686758,284.680725,1959.37793,289.00531,1959.36853,289.00531,3.84E-06,14.78,19.72,6,9.75,17.8125,42.40625,48.5625,231.96875,316.875
5.67692375,285.38623,1959.82312,284.743958,1959.82141,284.743958,2.82E-06,8.56,12.08,4.02,0.77,23.0625,57.78125,63.84375,257.59375,309.0625
