asst,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,runoff
278.435516,278.435516,7.64E-06,4.91E-07,6.06,10.71,0.69,2.46,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875
276.957794,276.957794,5.93E-06,1.28E-07,5.1,10.65,0.84,2.17,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422
281.760406,281.760406,7.32E-06,3.63E-07,6.74,8.93,2.14,4.3,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875
279.510345,279.510345,2.77E-06,1.76E-14,6.79,8.09,5.84,5.1,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125
279.384949,279.384949,5.83E-06,6.94E-08,6.74,9.38,2.89,3.52,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375
280.437897,280.437897,8.71E-06,6.65E-07,7.29,11.18,2.5,3.52,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875
280.213257,280.213257,8.87E-06,5.01E-07,7.59,12.22,2.85,3.54,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188
282.015228,282.015228,6.70E-06,2.13E-07,7.55,9.55,4.75,4.75,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625
280.911621,280.911621,1.18E-05,7.95E-08,8.32,10.5,6.49,2.23,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312
279.046722,279.046722,1.59E-05,3.76E-07,6.84,10.75,1.17,-2.69,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312
278.595062,278.595062,1.11E-05,9.05E-07,5.78,10.6,0.93,0.22,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188
280.16333,280.16333,1.12E-05,1.01E-06,6.82,11.23,1.36,1.17,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312
281.839935,281.839935,1.26E-05,7.92E-07,8.44,12.28,0.94,2.43,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312
281.882019,281.882019,1.00E-05,7.65E-07,8.11,13.81,3.12,3.79,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875
281.557709,281.557709,1.04E-05,8.73E-07,7.95,12.03,3.01,4.13,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375,462.29688
281.196533,281.196533,9.74E-06,9.96E-07,8.32,12.93,3.16,4.49,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375,458.29688
284.32962,284.32962,1.21E-05,1.26E-06,10.52,13.79,3.54,6.32,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188,453.95312
284.742126,284.742126,6.54E-06,4.48E-07,11.48,14.18,9.37,8.93,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312,449.79688
281.600403,281.600403,1.08E-05,9.66E-09,9.41,10.45,7.35,-0.03,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812,445.89062
282.17749,282.17749,9.01E-06,1.81E-07,9.25,11.93,5.85,3.9,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625,442.0625
280.013916,280.013916,9.31E-06,5.26E-14,5.47,6.29,4.82,2.35,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062,440.54688
280.374847,280.374847,6.23E-06,1.55E-09,6.65,7.73,5.41,4.05,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688,442.76562
279.255035,279.255035,8.85E-06,5.08E-07,6.63,11.45,1.22,2.93,6.1875,19.125,23.765625,110.625,161.70312,361.32812,361.54688,446.98438
282.450165,282.450165,1.19E-05,1.12E-06,8.01,12.84,0.77,3.73,6.140625,19,23.578125,109.25,161.29688,365.48438,365.5625,449.75
279.905396,279.905396,1.11E-05,5.80E-07,7.86,12,3.43,1.22,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375,367.60938,450.95312
281.309143,281.309143,1.29E-05,1.65E-06,7.62,13.52,2.33,2.94,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188,365.5,450.875
282.907013,282.907013,1.34E-05,2.09E-06,9.34,14.91,1.91,4.03,6.140625,18.828125,23.21875,107.140625,156.60938,356.82812,361.0625,448.42188
283.855347,283.855347,1.21E-05,1.43E-06,9.8,14.9,4.08,5.76,6.234375,18.9375,23.375,107.3125,155.73438,351.98438,356.25,443.90625
284.457611,284.457611,1.18E-05,1.41E-06,10.88,15.59,3.65,6.14,6.0625,18.640625,23.171875,109.1875,155.39062,347.59375,351.57812,438.54688
282.150116,282.150116,8.07E-06,6.08E-07,10,13.86,6.67,6.38,5.984375,18.40625,22.84375,111.703125,155.82812,344.875,348.03125,433.70312
283.766937,283.766937,1.39E-05,1.39E-06,10.28,13.49,6.68,5.53,5.921875,18.25,22.65625,113.453125,156.65625,344.10938,346.26562,429.90625
283.182037,283.182037,1.12E-05,6.95E-07,9.49,12.29,7.7,5.99,5.890625,18.109375,22.484375,114.46875,157.60938,344.625,346.10938,427.29688
280.300964,280.300964,7.17E-06,4.60E-08,7.55,9.76,4.71,4.75,5.859375,18,22.359375,115.125,158.8125,346.23438,347.375,426.79688
281.649323,281.649323,1.02E-05,8.11E-07,8.09,11.74,3.98,4.78,5.828125,17.890625,22.234375,115.15625,160.29688,349.25,349.84375,429.34375
282.50177,282.50177,1.22E-05,1.35E-06,8.53,12.39,4.09,4.7,5.78125,17.765625,22.078125,114,160.96875,353.35938,353.39062,432.65625
282.42099,282.42099,1.20E-05,1.24E-06,9.56,13.9,4.68,5.18,5.75,17.625,21.9375,111.875,160.71875,356.34375,356.8125,435.125
283.507446,283.507446,1.24E-05,1.49E-06,10.53,15.6,5.35,5.58,5.71875,17.59375,22,110.28125,160.34375,356.625,358.34375,436.28125
284.124969,284.124969,1.08E-05,1.31E-06,11.1,16.48,6.33,6.83,5.71875,17.5625,22.125,110.28125,160.25,354.28125,357.1875,436.125
287.275665,287.275665,1.93E-05,2.98E-06,13.14,17.86,6.14,8.42,6.21875,18.8125,22.875,111.375,159.4375,350.96875,354.28125,434.5
281.263824,281.263824,1.07E-05,1.61E-07,7.58,10.23,5.34,2.86,6.625,20.40625,24.75,117.46875,162.28125,348.34375,351.28125,432.3125
278.487122,278.487122,1.37E-05,7.81E-14,5.65,7,4.46,-2.32,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125,351.0625,431.65625
280.368866,280.368866,9.64E-06,1.27E-07,6.44,8.05,4.32,2.99,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625,358.625,434.5
277.777771,277.777771,6.97E-06,1.01E-08,4.72,7.11,0.74,2.3,5.8125,18.28125,23.28125,145.5625,191.875,383.3125,375.34375,443.15625
279.319977,279.319977,1.39E-05,4.88E-07,5.24,8.89,1.13,0.05,5.71875,18.03125,23.4375,137.96875,202.28125,406.25,397.59375,460.28125
276.946686,276.946686,8.87E-06,3.06E-14,4.09,6.8,1.98,1.16,5.59375,17.46875,22.84375,130.75,203.5625,423.25,418.375,485.4375
278.91745,278.91745,1.29E-05,3.95E-07,5.33,9.29,1.2,0.4,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625,427.65625,511.34375
280.073608,280.073608,1.40E-05,9.55E-07,6.69,11.11,0.94,-0.69,5.46875,16.96875,21.8125,116.125,189.15625,414.96875,422.65625,525.59375
278.802185,278.802185,8.15E-06,2.67E-07,4.61,7.61,0.67,1.98,5.4375,16.8125,21.5,110.9375,180.03125,398.0625,408.5,522.9375
277.412048,277.412048,7.70E-06,1.46E-07,4.71,7.69,0.83,1.19,5.375,16.6875,21.34375,107.3125,171.28125,379.71875,390.78125,508.3125
280.834564,280.834564,1.39E-05,2.08E-06,5.88,10.54,0.51,1.54,5.5,17.9375,22.21875,104.90625,163.28125,362.25,372.84375,487.59375
281.446045,281.446045,1.23E-05,1.93E-06,8.21,12.8,1.47,3.43,6.75,21.9375,25.59375,105.5625,157.09375,347.09375,356.53125,465.53125
282.21347,282.21347,1.17E-05,1.88E-06,9.56,14.5,3.45,5.11,11.75,32.8125,35.3125,113.25,155.4375,335.34375,343.03125,445.15625
284.880859,284.880859,1.31E-05,2.21E-06,10.5,14.71,3.58,6.73,17.65625,45.90625,50.03125,134.59375,162.125,329.96875,334.1875,428.34375
285.230896,285.230896,1.14E-05,1.87E-06,13.08,17.68,8.68,9.02,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625,333.875,417.40625
287.276489,287.276489,1.81E-05,4.31E-06,13.62,19.74,9.88,9.55,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875,343.9375,415.65625
287.521179,287.521179,1.59E-05,3.82E-06,13.35,19.45,7.27,9.55,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625,364.40625,425.0625
290.254883,290.254883,2.24E-05,5.50E-06,16.72,21.36,7.25,11.9,29.8125,73.4375,83.28125,350,287.875,424.15625,401.5,446.90625
290.358887,290.358887,2.22E-05,4.51E-06,16.14,21.1,11.38,12.06,30.1875,74.625,84.75,419.96875,376.03125,510.96875,472.75,488.90625
290.4086,290.4086,2.54E-05,4.88E-06,16.28,22.83,12.21,10.98,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875,589.9375,569.4375
284.956421,284.956421,1.68E-05,1.52E-06,11.05,15.07,7.02,5.17,28.5625,68.96875,79.1875,448.125,521.03125,765.34375,724,701.5
282.432861,282.432861,1.16E-05,5.28E-07,8.09,10.31,6.32,3.59,28.125,69.71875,80.71875,445.375,548.78125,866.09375,834.875,863.8125
284.35672,284.35672,1.27E-05,8.09E-07,10.96,13.52,7.55,6.29,25.5,63.75,75.6875,445.25,557.4375,955.09375,926.75,1017.65625
283.690674,283.690674,1.37E-05,7.55E-07,9.92,13,6.59,6.1,23.34375,58.8125,69.84375,421.5,548.4375,1008.375,993.46875,1128.6875
283.184418,283.184418,1.66E-05,1.20E-06,8.14,9.43,6.56,3.25,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375,1012.34375,1186.5
282.665985,282.665985,1.09E-05,2.57E-07,9.4,11.03,6.99,5.3,18.6875,47.5,57.46875,370,504.75,983.78125,993.625,1195.4688
280.330688,280.330688,1.70E-05,2.74E-08,7.55,9.67,5.15,0,16.65625,42.625,52.125,338.40625,478.875,942.0625,956.21875,1168.5625
280.266205,280.266205,1.97E-05,2.79E-06,7.33,11.68,3.95,-3.34,14.6875,37.59375,46.34375,307.40625,448.34375,897.25,913.8125,1125.3125
282.241638,282.241638,1.85E-05,3.81E-06,8.65,13.55,2.52,1.51,12.9375,33.1875,40.9375,275.28125,411.375,841.84375,863.53125,1075.5
284.985107,284.985107,2.06E-05,4.70E-06,10.52,16.45,3.39,5.21,12.6875,32.40625,38.6875,246.9375,374.125,777.4375,802.71875,1015.625
288.218414,288.218414,2.29E-05,6.46E-06,13.73,19.68,5.69,7.98,16,38.03125,42.5,229.0625,341.03125,712.46875,738.4375,946.84375
291.760864,291.760864,2.52E-05,6.78E-06,17.48,21.95,8.25,11.47,17.8125,42.40625,48.5625,231.96875,316.875,654.21875,678,876.75
284.617279,284.617279,9.03E-06,1.61E-07,12.36,15.92,9.29,7.95,23.0625,57.78125,63.84375,257.59375,309.0625,613.125,630.1875,814.90625
282.025757,282.025757,1.38E-05,1.36E-06,9.15,12.99,2.89,3.81,23.71875,60.9375,71.1875,295.8125,319.53125,601.15625,606.25,773.1875
285.381531,285.381531,2.05E-05,4.59E-06,11.4,17.18,3.75,5.88,21.5625,55.09375,65.28125,304.40625,342.4375,623.4375,614.40625,758.125
287.825165,287.825165,2.58E-05,7.20E-06,14.36,21.09,6.54,7.97,19.34375,49.34375,58.53125,285.0625,359.59375,668.15625,651.375,765.21875
289.954163,289.954163,2.79E-05,8.99E-06,16.07,23.08,8.77,10.02,17.25,44.75,53.3125,261.71875,354.625,702.46875,691.71875,790
292.393951,292.393951,3.05E-05,1.00E-05,18.94,25.67,10.84,11.55,15.3125,40.71875,49.1875,244.8125,334.71875,707.0625,707.71875,820.3125
292.210327,292.210327,4.32E-05,1.16E-05,18.84,26.31,13.13,5.83,13.5625,36.84375,45.3125,235.65625,313.03125,694.53125,700.6875,836.6875
295.363312,295.363312,4.43E-05,1.09E-05,22.35,27.28,14.5,12.15,12.0625,33.375,41.375,226.96875,297.15625,685.0625,689.75,835.0625
287.717438,287.717438,2.89E-05,5.02E-06,14.38,19.7,8.62,6.26,11.34375,32.0625,39.28125,213.0625,288.21875,687.6875,688.4375,828.34375
283.280151,283.280151,1.10E-05,3.48E-07,9.69,11.13,7.99,5.77,15.875,43.46875,48.8125,208.53125,291.5625,705.4375,700.4375,830.25
280.609344,280.609344,8.86E-06,1.47E-07,8.8,12.23,5.59,5.05,16.84375,45.9375,54.71875,223.25,299.1875,745.1875,731.6875,855.125
284.160461,284.160461,2.03E-05,4.53E-06,10.7,16.27,3.86,4.3,15.71875,43.21875,52.15625,232.53125,301.15625,784.0625,772.40625,904.46875
285.903412,285.903412,2.15E-05,4.64E-06,12.01,16.81,5.46,4.58,14.125,39,47.5,228.75,305.125,801.15625,797.28125,947.21875
