asst,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
278.186737,17.5439358,278.186737,7.11E-06,4.20E-07,5.38,10.24,0.07,2.25,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312
276.093842,9.13197327,276.093842,3.70E-06,1.98E-09,3.82,8.7,-0.74,1.31,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906
282.076965,20.5491314,282.076965,8.33E-06,6.30E-07,7,10.6,-1.08,3.91,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312
279.303345,5.44596672,279.303345,2.21E-06,1.26E-09,6.36,7.83,5.33,4.39,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188
278.711243,10.0528955,278.711243,4.08E-06,1.60E-08,5.81,8.66,1.36,2.8,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188
279.42041,22.1820354,279.42041,8.99E-06,8.37E-07,7.16,11.21,1.29,3.11,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375
279.421783,16.9931049,279.421783,6.89E-06,2.63E-07,6.77,10.87,2.66,3.09,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875
281.653564,19.4532833,281.653564,7.89E-06,5.02E-07,7.45,9.91,2.54,4.02,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875
281.45105,35.167099,281.45105,1.43E-05,5.85E-07,8.3,11.49,5.71,0.96,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625
278.58728,41.8424835,278.58728,1.70E-05,5.89E-07,6.41,11.54,-0.33,-4.15,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188
277.514801,28.2100048,277.514801,1.14E-05,8.00E-07,4.48,10.26,-1.02,-1.73,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875
279.292206,27.3261089,279.292206,1.11E-05,8.37E-07,6.08,10.98,-1.21,0.79,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188
280.805023,24.5419807,280.805023,9.95E-06,3.76E-07,7.96,11.16,1.7,1.53,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812
281.876892,29.2901115,281.876892,1.19E-05,1.13E-06,8.02,14.43,2.09,2.7,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125
279.972351,18.2412033,279.972351,7.40E-06,3.52E-07,7,11,1.25,3.58,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375
280.474945,21.6113548,280.474945,8.76E-06,7.88E-07,7.5,12.01,0.88,4.01,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375
283.351105,25.0943184,283.351105,1.02E-05,9.38E-07,9.77,12.78,3.46,5.05,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188
283.888123,17.7064743,283.888123,7.18E-06,2.71E-07,10.71,13.1,8.53,6.39,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312
280.503632,56.8216896,280.503632,2.30E-05,1.70E-13,8.34,9.42,6.26,-6.43,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812
281.667114,32.2607193,281.667114,1.31E-05,2.42E-07,8.83,11.39,5.5,0.42,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625
280.01181,33.2222176,280.01181,1.35E-05,1.50E-09,5.29,6.83,4.33,-0.68,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062
280.232941,10.1205225,280.232941,4.10E-06,7.16E-10,6.06,7.13,4.94,4.2,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688
