rzsm,tws,asst,psm,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,runoff
262.067749,911.034546,275.925079,911.033569,13.605094,275.925079,5.52E-06,6.68E-07,3.33,8.15,-2.82,-1.77,7.171875,22.570312,27.976562,130.19531
261.938416,910.443665,275.293579,910.440063,14.5970898,275.293579,5.92E-06,3.30E-07,0.78,6.36,-3.74,-2.75,7.171875,22.554688,27.984375,129.75
261.429993,909.462708,276.985382,909.461304,25.1659508,276.985382,1.02E-05,7.89E-07,3.51,7.38,-3.8,-3.47,7.15625,22.4375,27.84375,128.82031
260.915558,908.453369,277.019257,908.447815,24.3466682,277.019257,9.87E-06,6.10E-07,1.6,6.69,-1.67,-2.8,7.046875,22.125,27.484375,127.734375
260.73349,907.766296,275.785461,907.746216,14.6237392,275.785461,5.93E-06,2.56E-07,2.18,4.42,-0.9,-0.77,6.953125,21.859375,27.125,126.546875
260.595581,907.102356,278.083252,907.096497,20.2309017,278.083252,8.20E-06,6.50E-07,3.32,8.4,-0.99,-0.58,6.890625,21.65625,26.84375,125.1875
260.565796,906.565613,275.954956,906.557251,14.8116322,275.954956,6.01E-06,2.54E-07,1.86,5.18,-1.54,-0.21,6.828125,21.453125,26.609375,124.125
260.345917,905.840576,277.970367,905.835938,17.9161415,277.970367,7.26E-06,6.08E-07,3.89,8.01,-1.28,-0.19,6.796875,21.296875,26.40625,123.828125
259.799072,904.787048,276.771332,904.783508,37.0021896,276.771332,1.50E-05,6.00E-07,1.65,5.96,-3.69,-5.31,6.734375,21.125,26.1875,123.265625
258.874298,903.315979,273.431396,903.314758,32.2162933,273.431396,1.31E-05,4.97E-07,-0.03,4.17,-3.64,-9.05,6.671875,20.921875,25.953125,121.984375
258.468781,902.319519,273.061798,902.319153,17.6692371,273.061798,7.16E-06,4.25E-07,1.05,5.12,-2.92,-6.72,6.609375,20.71875,25.703125,120.546875
258.15274,901.40625,276.53476,901.404297,25.2197838,276.53476,1.02E-05,5.21E-07,1.31,6.48,-1.35,-3.7,6.546875,20.515625,25.453125,119.171875
257.9646,900.619019,276.425354,900.609314,17.6799641,276.425354,7.17E-06,2.52E-07,1.09,4.24,-1.38,-1.55,6.46875,20.3125,25.203125,117.96875
257.609375,899.652161,278.607086,899.649231,28.0473003,278.607086,1.14E-05,7.24E-07,2.44,8.84,-1.6,-2.58,6.421875,20.140625,24.984375,116.828125
257.691956,899.132324,275.768402,899.123962,13.9995155,275.768402,5.68E-06,2.25E-07,1.53,5.04,-3.56,-0.53,6.359375,19.953125,24.765625,115.828125
257.742462,898.594604,275.548096,898.590881,10.4873686,275.548096,4.25E-06,3.52E-07,3.15,8.4,-3.46,0.09,6.296875,19.75,24.546875,114.828125
257.684692,897.986572,278.472046,897.964233,17.8968716,278.472046,7.26E-06,4.36E-07,3.9,7.52,-0.57,1.5,6.265625,19.59375,24.328125,113.75
257.781982,897.52063,279.48645,897.507446,34.4916,279.48645,1.40E-05,4.09E-07,4.41,7.79,0.58,0.21,6.8125,20.375,24.984375,113.25
256.7211,895.888,275.169739,895.886841,43.1584358,275.169739,1.75E-05,4.07E-07,0.32,3.31,-2.7,-9.87,7.171875,21.03125,25.9375,114.125
256.446106,894.997559,275.541992,894.991882,30.4551907,275.541992,1.23E-05,2.06E-07,1.06,4.95,-2.26,-6.85,6.84375,20.40625,25.484375,115.25
256.094696,894.029358,275.337769,894.020447,24.9021626,275.337769,1.01E-05,3.44E-07,0.73,3.92,-2.43,-7.68,6.46875,19.75,24.609375,114.546875
256.091492,893.416992,276.483032,893.399963,20.8303967,276.483032,8.45E-06,1.90E-07,0.83,2.88,-0.98,-2.63,6.28125,19.359375,24.0625,112.578125
255.876633,892.600586,277.913116,892.596863,40.4305153,277.913116,1.64E-05,6.91E-07,2.49,9.63,-2.74,-5.17,6.1875,19.125,23.765625,110.625
255.129669,891.24292,278.672119,891.239807,36.3324852,278.672119,1.47E-05,7.31E-07,2.2,7.91,-2.8,-4.1,6.140625,19,23.578125,109.25
255.584595,891.078125,276.710785,891.069336,22.9122276,276.710785,9.29E-06,2.16E-07,1.44,4.72,-1.81,-1.6,6.078125,18.84375,23.40625,108.65625
255.352112,890.255798,277.775177,890.255432,27.2211819,277.775177,1.10E-05,7.43E-07,4.36,9.55,-1.58,-3.22,6.03125,18.671875,23.203125,107.984375
254.889648,889.202393,278.397888,889.197083,23.1729946,278.397888,9.40E-06,7.44E-07,4.69,10.13,-1.74,-1.36,6.140625,18.828125,23.21875,107.140625
254.686661,888.397095,278.369263,888.385254,22.7226868,278.369263,9.21E-06,4.90E-07,4.51,8.39,0.89,-0.1,6.234375,18.9375,23.375,107.3125
254.414719,887.505188,279.080627,887.503174,21.8766804,279.080627,8.87E-06,6.52E-07,5.56,10.07,0.53,-0.35,6.0625,18.640625,23.171875,109.1875
254.076584,886.551697,277.778137,886.549988,24.95504,277.778137,1.01E-05,5.12E-07,4.02,8.81,-0.96,-0.91,5.984375,18.40625,22.84375,111.703125
253.588882,885.468567,277.760773,885.465881,26.3361187,277.760773,1.07E-05,6.31E-07,4.12,8.8,-0.37,-2.12,5.921875,18.25,22.65625,113.453125
253.179672,884.472046,278.007965,884.463013,26.3086624,278.007965,1.07E-05,7.27E-07,4.68,9.08,0.16,-2.28,5.890625,18.109375,22.484375,114.46875
253.049606,883.745361,276.104889,883.731201,21.317522,276.104889,8.64E-06,3.62E-07,2.41,5.77,-0.36,-1.91,5.859375,18,22.359375,115.125
253.02269,883.12915,276.816589,883.116821,19.1807251,276.816589,7.78E-06,3.75E-07,3.02,6.66,-0.35,-0.9,5.828125,17.890625,22.234375,115.15625
253.08223,882.623047,278.107208,882.611023,23.6244946,278.107208,9.58E-06,3.01E-07,3.38,6.92,0.77,0.6,5.78125,17.765625,22.078125,114
253.679794,882.689636,277.96521,882.676392,16.4505672,277.96521,6.67E-06,1.26E-07,3.87,6.81,1.06,1.47,5.75,17.625,21.9375,111.875
254.630508,883.18988,278.248627,883.167603,11.9283285,278.248627,4.84E-06,1.48E-07,3.66,6.96,-0.57,1.86,5.71875,17.59375,22,110.28125
254.576721,882.726562,280.357635,882.704407,20.1881371,280.357635,8.18E-06,4.46E-07,6.94,11.88,-0.84,3.39,5.71875,17.5625,22.125,110.28125
254.955048,882.695435,279.7901,882.675659,18.8786449,279.7901,7.65E-06,3.02E-07,5.58,9.4,2.08,3.47,6.21875,18.8125,22.875,111.375
257.465302,884.951355,275.257416,884.934387,16.4716778,275.257416,6.68E-06,3.58E-08,0.87,2.63,-1.58,-0.67,6.625,20.40625,24.75,117.46875
257.293091,884.783447,274.127045,884.708862,26.9781208,274.127045,1.10E-05,4.10E-07,1.16,5.5,-2.4,-6.94,6.40625,20.34375,25.71875,133.96875
256.615906,884.021973,276.163849,883.896973,31.5725594,276.163849,1.29E-05,4.83E-07,1.68,6.65,-1.34,-4.51,6.03125,19.09375,24.40625,147.03125
257.725281,884.991028,274.196289,884.888306,15.8941622,274.196289,6.51E-06,7.26E-08,-0.65,1.62,-3.7,-3.01,5.8125,18.28125,23.28125,145.5625
257.310303,884.613708,275.051117,884.443298,31.0196323,275.051117,1.28E-05,3.45E-07,0.31,4.26,-4.2,-6.93,5.71875,18.03125,23.4375,137.96875
257.128235,884.487366,273.573853,884.160522,17.1516018,273.573853,7.02E-06,1.86E-07,-1.22,0.48,-2.94,-4.83,5.59375,17.46875,22.84375,130.75
