rzsm,sd,asst,lhnf,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,runoff
204.514389,3.21E-08,275.223694,12.515274,275.223694,0,4.81E-06,5.07E-06,5.24E-07,2.38,7.29,-2.3,-3.04,7.171875,22.570312,27.976562
204.405029,3.20E-07,275.053467,14.3184376,275.053467,0,4.80E-05,5.81E-06,2.75E-07,0.83,6.13,-3.89,-3.38,7.171875,22.554688,27.984375
203.915878,0,276.106079,21.8608799,276.106079,0,0,8.86E-06,5.72E-07,1.46,6.6,-3.97,-5.64,7.15625,22.4375,27.84375
203.521439,0,276.448456,19.5133629,276.448456,0,0,7.91E-06,4.42E-07,1.03,6.35,-2.51,-3.68,7.046875,22.125,27.484375
203.41716,8.31E-08,275.101562,12.0470448,275.101562,0,1.25E-05,4.88E-06,1.88E-07,1.23,4.4,-1.59,-1.76,6.953125,21.859375,27.125
203.332138,0,277.514954,17.6390686,277.514954,0,0,7.15E-06,5.30E-07,2.14,7.2,-2.05,-1.47,6.890625,21.65625,26.84375
203.352417,0,275.130493,11.9315634,275.130493,0,0,4.84E-06,2.39E-07,1.51,4.78,-2.45,-1,6.828125,21.453125,26.609375
203.134354,0,277.559326,19.9486141,277.559326,0,0,8.09E-06,5.38E-07,1.95,7.32,-2.21,-2.63,6.796875,21.296875,26.40625
202.460938,1.03E-08,275.760529,37.3646622,275.760529,0,1.55E-06,1.51E-05,5.23E-07,0.22,4.28,-4.2,-7.68,6.734375,21.125,26.1875
201.58287,7.16E-09,272.487366,29.3620262,272.487366,0,1.07E-06,1.19E-05,3.32E-07,-1.04,2.19,-3.99,-11.1,6.671875,20.921875,25.953125
201.258347,0,272.636841,16.4116039,272.636841,0,0,6.65E-06,2.94E-07,-0.19,4.17,-3.82,-9.03,6.609375,20.71875,25.703125
200.984909,0,275.740692,21.9179115,275.740692,0,0,8.89E-06,3.85E-07,1.01,5.84,-2.28,-4.78,6.546875,20.515625,25.453125
200.902985,0,275.572845,13.7104197,275.572845,0,0,5.56E-06,1.99E-07,0.54,3.86,-2.74,-2.4,6.46875,20.3125,25.203125
200.64769,0,277.891693,24.5876255,277.891693,0,0,9.97E-06,5.87E-07,1.58,8,-2.7,-4.02,6.421875,20.140625,24.984375
200.756363,1.30E-07,275.021088,12.1266842,275.021088,0,1.94E-05,4.92E-06,1.69E-07,1.23,4.65,-3.71,-1.22,6.359375,19.953125,24.765625
200.826797,2.54E-08,274.820679,8.96952343,274.820679,0,3.82E-06,3.64E-06,2.89E-07,2.16,7.75,-3.83,-0.86,6.296875,19.75,24.546875
200.818726,1.87E-07,277.845581,15.1917419,277.845581,0,2.81E-05,6.16E-06,4.39E-07,3.61,7.77,-1.31,0.86,6.265625,19.59375,24.328125
