asst,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,JinRO,runoff
278.849426,278.849426,3.76E-07,7.14,12.44,1.34,3.03,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875,574.8906
279.393738,279.393738,4.48E-07,6.99,13.53,0.95,2.99,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422,568.89844
281.916016,281.916016,1.27E-07,7.12,8.7,2.49,4.25,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875,563.0078
280.410431,280.410431,2.43E-09,7.64,8.94,6.4,5.87,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125,559.9844
281.019348,281.019348,1.71E-07,8.38,11.81,5.43,4.14,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375,560.8281
281.032257,281.032257,4.41E-07,8.67,12.42,3.73,4.42,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875,562.71875
282.158081,282.158081,7.06E-07,9.46,13.97,3.36,4.19,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188,562.3906
283.354034,283.354034,1.92E-07,9.31,11.34,7.75,5.62,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625,558.34375
282.436218,282.436218,6.31E-08,9.41,12.1,6.33,6.33,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312,551.3906
280.208923,280.208923,1.70E-07,6.41,8.63,3.71,2.77,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312,543.59375
279.899719,279.899719,4.73E-07,6.67,11,2.32,1.92,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188,536.1719
280.961395,280.961395,7.41E-07,7.15,12.24,1.87,2.27,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312,528.9844
283.071716,283.071716,8.06E-07,9.65,13.85,1.37,2.92,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312,522.5
281.25766,281.25766,3.50E-07,8.29,13.06,2.94,3.67,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875,517.0781
282.741821,282.741821,9.66E-07,8.94,13.89,2.05,4.62,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375,462.29688,512.2969
282.871338,282.871338,8.24E-07,9.97,14.57,5.14,5.6,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375,458.29688,507.75
285.493286,285.493286,1.10E-06,12.1,15.49,5.04,7.42,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188,453.95312,503.28125
285.720642,285.720642,3.69E-07,12.05,14.1,10.36,9.58,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312,449.79688,498.95312
282.767181,282.767181,2.77E-08,10.15,12.32,7.36,3.57,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812,445.89062,495.45312
284.453979,284.453979,5.70E-07,10.95,14.1,7.11,4.93,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625,442.0625,491.26562
281.38205,281.38205,3.89E-14,6.76,7.54,6.04,4.62,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062,440.54688,487.95312
280.379883,280.379883,3.44E-08,7.74,10.37,5.82,3.46,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688,442.76562,487.92188
279.774017,279.774017,2.32E-07,7.03,10.86,2.34,3.17,6.1875,19.125,23.765625,110.625,161.70312,361.32812,361.54688,446.98438,489.57812
282.611267,282.611267,7.78E-07,8.76,13.72,2.28,4.17,6.140625,19,23.578125,109.25,161.29688,365.48438,365.5625,449.75,491.29688
281.077362,281.077362,5.53E-07,9.17,13.35,4.95,0.59,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375,367.60938,450.95312,492.35938
281.896576,281.896576,1.30E-06,8.68,14.9,3.48,2.6,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188,365.5,450.875,492.57812
283.327057,283.327057,1.63E-06,9.84,15.35,3.24,4.33,6.140625,18.828125,23.21875,107.140625,156.60938,356.82812,361.0625,448.42188,491.78125
284.788727,284.788727,1.46E-06,10.61,15.87,6.55,5.96,6.234375,18.9375,23.375,107.3125,155.73438,351.98438,356.25,443.90625,490.125
284.966919,284.966919,1.21E-06,11.42,15.85,6.16,6.85,6.0625,18.640625,23.171875,109.1875,155.39062,347.59375,351.57812,438.54688,487.23438
284.500824,284.500824,1.27E-06,11.78,16.17,7.54,7.01,5.984375,18.40625,22.84375,111.703125,155.82812,344.875,348.03125,433.70312,482.9375
285.08493,285.08493,1.14E-06,11.45,14.8,7.69,7.25,5.921875,18.25,22.65625,113.453125,156.65625,344.10938,346.26562,429.90625,477.95312
284.193665,284.193665,4.85E-07,10.24,13.19,7.58,7.26,5.890625,18.109375,22.484375,114.46875,157.60938,344.625,346.10938,427.29688,473.21875
281.614136,281.614136,1.44E-07,9.67,11.67,7.1,4.85,5.859375,18,22.359375,115.125,158.8125,346.23438,347.375,426.79688,469.75
282.430206,282.430206,7.24E-07,9.66,13.56,5.93,5.09,5.828125,17.890625,22.234375,115.15625,160.29688,349.25,349.84375,429.34375,468.95312
282.917358,282.917358,8.03E-07,9.28,12.69,6.3,5.22,5.78125,17.765625,22.078125,114,160.96875,353.35938,353.39062,432.65625,471.67188
