time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,runoff
20100102,4.38535976,12.8154049,531.575195,105.635574,207.175552,1.74E-07,0.000119803,738.775269,4.23E-06,273.808014,738.750305,10.9784861,1.63E-07,5.73565197,273.808014,-7.67E-10,0.01797078,-76.0525589,4.45E-06,4.86E-08,0.006611687,864.14,1.88,7.51,-3.24,0,-3.67,0.9,0.29,-0.19,10032678,11797440,7.171875,22.570312
20100103,4.38656712,8.78011417,531.101624,81.3677292,207.028778,3.05E-07,2.43E-05,738.14093,4.26E-06,273.669434,738.130493,11.2648697,0,-7.81347799,273.669434,1.18E-10,0.003650039,-69.1154251,4.57E-06,-1.66E-09,0.006918101,862.17,0.52,6.35,-4.31,0,-4.34,1.2,-0.82,-0.43,8983880,10375000,7.171875,22.554688
20100104,4.34734058,17.6017189,530.619507,107.240288,206.586243,3.50E-08,0,737.207275,7.13E-06,274.3815,737.205872,17.6929512,0,12.1204786,274.3815,0,0,-59.8205795,7.17E-06,3.59E-09,0.001504261,863.22,0.51,6.3,-4.41,0.03,-7.3,1.24,-0.78,-0.9,9848216,11250056,7.15625,22.4375
20100105,4.36779213,5.29170656,530.109314,74.9037704,206.311523,3.64E-09,0,736.426758,4.01E-06,274.061371,736.420837,9.86185169,0,6.96952534,274.061371,0,0,-52.7813644,4.00E-06,-1.90E-08,0.005923767,864.15,0.45,5.71,-3.06,0.05,-4.38,1.12,0.64,-0.34,8276542,9389956,7.046875,22.125
20100106,4.38468456,2.4610424,529.596313,63.1954231,206.250656,9.11E-07,0,735.87677,3.14E-06,274.364075,735.846985,9.96884155,0,14.7206154,274.364075,0,0,-36.0453033,4.04E-06,-1.34E-08,0.029797304,866.41,0.89,4.66,-2.51,0.04,-2.37,0.76,0.25,-0.04,6474996,7310520,6.953125,21.859375
20100107,4.35846376,6.72096157,529.096375,100.657196,206.095901,5.36E-07,0,735.204041,4.99E-06,275.858673,735.192017,14.1601973,0,10.4519091,275.858673,0,0,-69.3193359,5.74E-06,2.13E-07,0.011803974,866.42,1.62,6.77,-1.9,0.14,-1.99,1.14,0.69,-0.05,10233380,11492520,6.890625,21.65625
20100108,4.37792444,-12.359046,528.598877,57.7147598,206.042923,9.96E-07,0,734.65979,3.30E-06,274.063599,734.641663,10.5756521,0,13.4619818,274.063599,0,0,-46.0430679,4.29E-06,-6.27E-09,0.018009897,861.86,0.87,4.9,-3.14,0.58,-1.75,1.14,0.17,-0.24,5368910,6035176,6.828125,21.453125
20100109,4.32899904,8.2154789,528.108826,99.846344,205.699677,2.89E-07,0,733.816528,7.40E-06,276.36853,733.808533,19.4323769,0,15.1823282,276.36853,0,0,-57.0136223,7.88E-06,1.94E-07,0.007984757,863.89,0.99,7.18,-3.18,0.06,-3.63,1.16,-0.89,-0.7,7889692,8832832,6.796875,21.296875
20100110,4.30251741,-10.9678154,527.592712,92.7933197,205.17334,5.21E-07,1.98E-10,732.772095,9.43E-06,274.195251,732.765991,24.5345192,0,14.6797533,274.195251,0,2.96E-08,-64.549202,9.95E-06,8.09E-14,0.006022285,869.91,-0.46,3.18,-3.92,0.14,-8.45,2,-1.83,-0.75,6635150,7419836,6.734375,21.125
20100111,4.30373955,-27.1509876,527.037903,82.5795975,204.667755,4.36E-07,1.59E-07,731.71051,7.31E-06,271.501587,731.705566,19.1112862,0,25.5207615,271.501587,0,2.38E-05,-65.1050415,7.75E-06,-7.71E-10,0.004828533,873.5,-1.89,0.98,-3.87,0.14,-12.19,1.8,-1.4,-0.92,6722216,7541972,6.671875,20.921875
20100112,4.30616188,-10.560071,526.455383,116.433228,204.355499,3.39E-08,0,730.812378,6.26E-06,272.389923,730.810669,15.5316191,0,23.9488335,272.389923,0,0,-87.5107498,6.30E-06,-1.28E-09,0.001549857,870.33,-1.1,3.55,-4.9,0,-10.6,1.08,-0.11,-0.23,11743306,13180816,6.609375,20.71875
20100113,4.30599213,11.9089394,525.860474,112.747963,204.092484,8.18E-09,1.40E-06,729.956848,5.56E-06,274.108704,729.953003,13.7221565,0,18.2056236,274.108704,0,0.00020979,-68.8996811,5.56E-06,-4.75E-09,0.003721676,868.26,0.33,5.43,-3.15,0.24,-5.92,1.52,1.33,0.14,11166188,12502372,6.546875,20.515625
20100114,4.32448149,0.812973917,525.267273,72.2482147,204.045944,5.51E-07,0,729.335083,3.54E-06,274.557556,729.313171,10.0633974,0,10.6815109,274.557556,0,0,-50.6964455,4.08E-06,-1.18E-08,0.021857522,867.93,0.28,4.26,-3.41,0.29,-3.1,0.92,-0.21,-0.08,5951824,6721588,6.46875,20.3125
20100115,4.29776144,10.1098223,524.684937,107.684364,203.811676,3.28E-07,0,728.505432,6.13E-06,276.28363,728.496521,16.5120316,0,17.281271,276.28363,0,0,-63.7717552,6.69E-06,2.35E-07,0.008767102,871.27,0.93,7.48,-3.44,0.01,-4.83,1.27,0.63,-0.63,11553334,12974760,6.421875,20.140625
20100116,4.33605242,-12.0985279,524.106934,52.9948654,203.872971,1.14E-06,1.99E-07,727.999878,3.32E-06,274.489227,727.979797,11.0030346,2.08E-09,14.4631643,274.489227,0,2.99E-05,-39.6374702,4.46E-06,-3.46E-09,0.019941064,870.81,0.79,4.66,-3.9,0.3,-2,1,0.52,-0.18,5732288,6420940,6.359375,19.953125
20100117,4.30426407,-2.61191559,523.548828,104.26741,203.719986,2.24E-07,0,727.27301,4.68E-06,275.163239,727.268799,12.5550909,0,24.7578316,275.163239,0,0,-69.5647964,5.09E-06,1.89E-07,0.004189527,868.78,1.76,7.99,-4,0,-1.84,0.96,0.27,-0.35,10985318,12278224,6.296875,19.75
20100118,4.31926012,19.5872707,522.992676,98.016098,203.573624,4.63E-07,0,726.597656,4.93E-06,278.376221,726.566101,13.5799236,0,28.6329689,278.376221,0,0,-36.2024841,5.51E-06,1.10E-07,0.031385757,862,3.49,8.44,-1.61,1.25,0.18,1.06,0.75,0.09,9991708,11131980,6.265625,19.59375
20100119,4.33202696,0.720280647,522.451904,62.3716927,203.746628,2.32E-06,2.56E-08,726.228149,6.07E-06,278.281433,726.198486,20.9119072,0,4.57533789,278.281433,0,3.83E-06,-36.1731606,8.48E-06,8.70E-08,0.029604742,864.05,2.6,6.82,-1.67,1.05,-1.03,1.31,-0.78,0.09,4979178,5540852,6.8125,20.375
