time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,JinRO,WuRO,runoff
20100102,7.33816528,-12.2471647,895.096069,81.9244308,360.319397,-3.28E-09,0,1255.41797,8.13E-06,279.333252,1255.41553,21.0716228,0,16.6874924,279.333252,0,0,-56.4135361,8.54E-06,4.18E-07,0.002489096,981.69,7.29,12.24,0.99,0,3.05,1.45,-0.57,-0.41,9768892,10810768,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875,574.8906,1223.5391
20100103,7.32700491,1.20237601,894.692871,108.513779,359.738098,6.62E-08,0,1254.43433,8.50E-06,280.875305,1254.43103,22.4302597,0,25.7357864,280.875305,0,0,-59.1319466,9.09E-06,5.24E-07,0.00335787,976.18,7.14,13.5,0.39,0.01,3.35,1.91,-1.41,-0.33,11673704,12919072,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422,568.89844,1206.75
20100104,7.45507622,6.55318689,894.232727,53.1925735,360.129395,3.51E-07,0,1254.38257,5.49E-06,282.634277,1254.36194,14.8025112,0,21.496933,282.634277,0,0,-10.3324986,6.00E-06,1.56E-07,0.020431761,977.04,7.11,8.57,3.67,4.2,4.34,0.86,-0.56,0.25,3682240,4074596,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875,563.0078,1188.8984
20100105,7.4735651,-13.075038,894.387817,16.4726791,363.138367,-1.90E-08,0,1257.5647,1.56E-06,280.492218,1257.52625,3.82560039,0,5.7420907,280.492218,0,0,-19.990654,1.55E-06,6.33E-09,0.038534775,981.17,7.25,8.7,5.87,1.92,5.55,1.32,0.33,-1.19,1670416,1848588,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125,559.9844,1177.2188
20100106,7.39377928,0.79998666,894.821533,65.4660187,362.286652,6.49E-07,0,1257.11792,8.63E-06,282.213104,1257.10815,23.6337261,0,14.4793892,282.213104,0,0,-26.5479031,9.58E-06,3.06E-07,0.009783408,982.58,8.32,12.27,5.76,0.01,4.18,1.68,-0.99,-1.03,7324298,8107100,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375,560.8281,1174.7969
20100107,7.37182951,-9.6310339,894.946533,66.4782715,361.66925,1.25E-07,0,1256.62048,7.99E-06,281.560059,1256.61597,21.0923786,0,13.9709663,281.560059,0,0,-41.0572166,8.55E-06,4.35E-07,0.004720484,984.47,8.52,12.02,3.75,0,4.7,0.9,0.24,-0.3,7775874,8604824,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875,562.71875,1175.0312
20100108,7.33773804,7.52948761,894.847839,111.300209,360.706604,1.11E-07,0,1255.5564,1.08E-05,283.211517,1255.55457,28.8006134,0,23.8106651,283.211517,0,0,-51.1430511,1.17E-05,7.40E-07,0.001971381,976.16,9.26,13.89,3.34,0,4.56,1.73,-0.96,-0.68,11670122,12916840,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188,562.3906,1174.2969
20100109,7.36485529,4.28764057,894.55072,42.5372086,360.28952,3.09E-07,0,1254.85889,5.60E-06,284.013916,1254.84033,15.0710592,0,11.8026037,284.013916,0,0,-11.3727369,6.11E-06,2.03E-07,0.018620709,977.9,9.28,11.04,7.81,0.28,5.75,0.74,0.04,0.1,3342306,3699260,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625,558.34375,1173.7969
20100110,7.43861485,-1.65486825,894.322754,35.3736954,361.1604,5.32E-07,0,1255.51257,3.56E-06,283.734802,1255.48315,10.3983946,0,13.8512802,283.734802,0,0,-12.781291,4.22E-06,1.27E-07,0.029443203,982.84,9.8,12.48,6.99,1.64,6.64,1.57,-0.97,-0.59,4737446,5243040,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312,551.3906,1171.7812
20100111,7.42795086,-14.1942005,894.397156,30.5486317,362.026154,9.32E-07,0,1256.44397,6.49E-06,281.237854,1256.4231,18.432478,0,8.96621895,281.237854,0,0,-17.3559914,7.47E-06,5.21E-08,0.020714371,988.35,6.58,8.1,3.82,4.98,4.8,2.01,-1.7,0.12,2024746,2241332,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312,543.59375,1167.9219
20100112,7.37895203,-10.9891224,894.549377,66.8191757,361.679382,6.04E-07,0,1256.23621,7.21E-06,280.36853,1256.22888,19.7746315,0,17.2220802,280.36853,0,0,-40.8092842,8.02E-06,2.06E-07,0.007432433,987.75,6.99,10.63,3.58,0.06,2.36,1.6,0.41,-0.49,6633946,7341200,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188,536.1719,1162.7031
20100113,7.34498596,-8.49827003,894.500793,87.19664,360.794464,9.33E-08,0,1255.29785,9.72E-06,281.010193,1255.29541,25.6903419,0,18.6483898,281.010193,0,0,-51.3634567,1.04E-05,5.98E-07,0.00260858,986.79,7.3,12.04,1.73,0,2.23,1.05,0.24,-0.53,8415460,9314832,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312,528.9844,1150.9844
20100114,7.3101306,10.9001589,894.221252,113.787834,359.767151,8.06E-08,0,1253.9917,1.47E-05,283.702332,1253.98853,38.4589462,0,28.2168217,283.702332,0,0,-36.1961212,1.56E-05,8.38E-07,0.003315838,982.49,9.56,13.77,1.37,0.13,3.08,1.73,-1.11,-0.4,11886214,13157400,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312,522.5,1130.4219
20100115,7.33624315,-15.9688444,893.771484,31.8920517,359.378174,3.00E-07,0,1253.16003,5.18E-06,280.608185,1253.14966,13.7815971,0,3.17364001,280.608185,0,0,-30.9208107,5.59E-06,1.09E-07,0.010363278,989.12,7.82,12.01,3.22,0.13,3.77,1.71,1.02,-0.16,5490408,6076416,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875,517.0781,1110.8438
20100116,7.30183411,4.95324039,893.280457,111.10215,358.795776,2.01E-07,0,1252.0791,1.09E-05,283.269806,1252.07629,29.8584023,0,23.0824451,283.269806,0,0,-53.1980553,1.21E-05,9.73E-07,0.002862633,987.36,9.14,14.22,2.35,0,4.62,1.55,-0.92,-0.72,12000614,13287520,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812,372.59375,462.29688,512.2969,1095.2812
20100117,7.29715824,-1.92537081,892.696655,90.4577484,358.251038,-7.48E-08,0,1250.94897,9.07E-06,283.356232,1250.94727,24.1667862,0,15.1085997,283.356232,0,0,-53.1113358,9.80E-06,7.99E-07,0.00127059,985.11,9.79,14.62,4.43,0,5.97,1.26,-0.72,-0.73,10151876,11242500,6.296875,19.75,24.546875,114.828125,165.34375,365.39062,369.09375,458.29688,507.75,1082.7656
20100118,7.28591585,14.5849333,892.060913,101.839584,357.752502,1.20E-07,0,1249.82007,1.05E-05,286.127808,1249.81335,28.7201996,0,29.6692371,286.127808,0,0,-28.8508911,1.16E-05,9.93E-07,0.006670109,976.94,12.18,15.76,4.12,0.17,7.72,1.32,-0.88,-0.47,9465190,10485372,6.265625,19.59375,24.328125,113.75,163.875,362.10938,365.67188,453.95312,503.28125,1071.2344
20100119,7.3619976,5.14320946,891.411499,38.9418259,358.014404,1.69E-07,0,1249.45239,3.95E-06,285.797211,1249.4259,10.7468805,0,15.3163013,285.797211,0,0,-7.73301697,4.36E-06,2.36E-07,0.02646381,975.46,11.9,13.79,10.39,1.52,9.37,0.96,-0.31,0.54,3400824,3768148,6.8125,20.375,24.984375,113.25,162.64062,358.92188,362.45312,449.79688,498.95312,1060.4062
20100120,7.40309429,-7.28217173,891.059937,21.2057362,359.914307,6.48E-07,0,1251.00684,2.40E-06,283.950745,1250.97424,7.65784645,0,17.1233578,283.950745,0,0,-3.7130723,3.10E-06,5.32E-08,0.03258618,982.23,10.13,12.61,7.07,0.63,5.47,1.85,-0.98,1.25,2115404,2343860,7.171875,21.03125,25.9375,114.125,162.07812,356.10938,359.32812,445.89062,495.45312,1051
20100121,7.39348316,2.76338744,890.944336,68.0121002,359.769867,6.31E-07,0,1250.72913,9.66E-06,285.179352,1250.71411,26.8538532,0,20.7348347,285.179352,0,0,-17.657053,1.09E-05,5.99E-07,0.014907763,984.88,10.98,14.03,6.91,2.47,5.12,1.72,-0.43,-0.13,11290312,12513316,6.84375,20.40625,25.484375,115.25,161.95312,354.625,357.0625,442.0625,491.26562,1041.9375
20100122,7.43389606,-13.2099905,891.051147,18.0443535,361.427643,8.81E-07,0,1252.50366,4.77E-06,282.204071,1252.47876,13.9897861,0,13.9577866,282.204071,0,0,-3.31444097,5.67E-06,2.04E-08,0.02493131,988.32,7.02,8.32,6.47,2.95,5.07,1.86,-0.87,0.36,1347680,1494092,6.46875,19.75,24.609375,114.546875,161.39062,355.0625,356.64062,440.54688,487.95312,1034.8906
20100123,7.35973978,-12.4808197,891.347412,42.0798416,360.918915,5.85E-07,0,1252.27332,7.78E-06,281.004883,1252.26636,20.9295502,0,12.4034834,281.004883,0,0,-21.2306805,8.49E-06,1.17E-07,0.006988218,983.29,7.55,10.4,5.35,0.02,3.01,1.71,0.28,-1.18,5491070,6090088,6.28125,19.359375,24.0625,112.578125,161.26562,357.375,358.29688,442.76562,487.92188,1034.9219
20100124,7.34109974,-12.8507862,891.377258,59.8446693,360.068268,1.04E-07,0,1251.44849,8.45E-06,280.696472,1251.44568,21.887188,0,13.791544,280.696472,0,0,-37.0253677,8.87E-06,3.21E-07,0.002984398,984.94,7.17,10.18,2.99,0,3.09,1.23,-0.13,0.03,4295798,4765156,6.1875,19.125,23.765625,110.625,161.70312,361.32812,361.54688,446.98438,489.57812,1038.6406
20100125,7.32402086,2.13375974,891.205261,90.7229538,359.380035,1.19E-07,0,1250.58777,1.05E-05,282.63205,1250.58533,27.5922165,0,21.2675438,282.63205,0,0,-39.7227325,1.12E-05,6.03E-07,0.002477326,987,8.53,13.17,2.84,0.09,4.06,1.58,0.75,-1.18,9675974,10734980,6.140625,19,23.578125,109.25,161.29688,365.48438,365.5625,449.75,491.29688,1044.2031
20100126,7.2844162,-2.67753005,890.864807,78.6488495,358.399872,8.72E-08,0,1249.26953,1.47E-05,282.390656,1249.26465,37.8669739,0,6.3956418,282.390656,0,0,-37.063652,1.54E-05,6.14E-07,0.004842345,977.22,9.47,13.29,4.82,0.15,0.77,2.28,-0.46,-1.09,9437756,10473888,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375,367.60938,450.95312,492.35938,1054.6719
20100127,7.26629257,-6.14386654,890.324097,124.699249,357.329712,1.89E-07,0,1247.65576,1.36E-05,282.530518,1247.65381,37.6296959,0,16.7346039,282.530518,0,0,-76.483139,1.53E-05,1.44E-06,0.001935582,977.57,8.76,14.78,4.14,0,2.43,1.63,0.03,-0.51,12355930,13714492,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188,365.5,450.875,492.57812,1068.0781
