time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,runoff
20100102,4.36193228,20.9797554,530.514221,112.393372,206.177933,5.16E-07,0.000347028,736.749634,4.42E-06,273.998047,736.692139,13.399888,5.11E-07,-3.97648764,273.998047,6.80E-09,0.05205496,-81.7937317,5.44E-06,4.92E-07,0.005439887,864.03,1.54,7.86,-3.31,0,-4.12,0.91,0.54,-0.17,9948070,11830504,7.171875
20100103,4.33859587,23.3036327,530.065674,97.2270737,205.9729,3.84E-07,0.00017871,736.068726,7.66E-06,274.586578,736.038452,20.6590481,1.94E-07,-30.1457291,274.586578,2.29E-08,0.026806867,-83.2583389,8.40E-06,3.37E-07,0.003365526,862.21,0.15,6.36,-4.82,0,-5.3,1.17,-0.7,-0.53,9168632,10692280,7.171875
20100104,4.29881811,9.01464176,529.600159,113.867004,205.342361,9.12E-08,5.62E-05,734.952454,9.43E-06,273.800781,734.942505,24.4131966,6.74E-08,16.6949844,273.800781,2.13E-08,0.008422744,-63.658474,9.92E-06,3.82E-07,0.001524491,863.36,0.05,5.78,-4.98,0.04,-8.14,1.48,-0.81,-1.16,9820716,11319440,7.15625
20100105,4.33875656,4.70469475,529.098633,80.2846298,205.072128,1.74E-08,1.83E-06,734.173706,3.95E-06,273.490875,734.170898,10.5124559,3.26E-15,4.07488108,273.490875,0,0.000274775,-60.9923897,4.26E-06,2.97E-07,0.002610104,864.13,-0.15,5.44,-3.47,0.05,-4.72,1.1,0.66,-0.2,7978044,9135616,7.046875
20100106,4.35449505,3.71793747,528.590637,84.7849884,205.065308,6.26E-07,1.06E-05,733.676941,3.32E-06,273.42453,733.655945,10.2985458,1.27E-07,22.7970238,273.42453,0,0.001585119,-47.9532204,4.18E-06,2.30E-07,0.019380059,866.3,0.58,4.71,-2.92,0.02,-3.03,0.68,0.3,0.07,7222994,8218528,6.953125
20100107,4.34289837,23.3657951,528.101562,105.361221,205.070267,6.57E-07,3.45E-08,733.178711,3.97E-06,275.056396,733.171936,12.543478,7.18E-09,-4.72184896,275.056396,0,5.17E-06,-74.1703491,5.09E-06,4.61E-07,0.006879671,866.3,1.33,6.59,-2.52,0.06,-2.35,1.05,0.62,0.11,10009800,11311052,6.890625
20100108,4.34453583,-4.34497166,527.626282,81.1333618,205.008133,9.12E-07,0,732.644531,3.83E-06,273.826996,732.63446,12.3940239,0,14.1387796,273.826996,0,0,-58.949379,5.02E-06,2.86E-07,0.010137792,861.81,0.3,4.91,-3.95,0.44,-2.52,1.11,0.07,-0.21,5991400,6775992,6.828125
20100109,4.30527115,5.35080671,527.15979,106.789589,204.744919,5.89E-07,3.84E-06,731.910278,7.85E-06,274.961456,731.904541,21.9650993,4.03E-09,21.2564545,274.961456,0,0.000575588,-58.2101097,8.91E-06,4.63E-07,0.00502843,864,0.76,7.38,-3.97,0.07,-4.3,1.33,-0.93,-0.89,8131796,9150680,6.796875
20100110,4.26275635,-10.6992521,526.675781,99.6847687,204.182571,4.21E-07,3.62E-07,730.860779,1.16E-05,273.004486,730.858337,30.3120518,3.09E-08,14.4592209,273.004486,0,5.43E-05,-65.615448,1.23E-05,2.67E-07,0.002370908,869.92,-0.68,2.81,-3.59,0.22,-8.64,1.98,-1.77,-0.87,7118214,7994376,6.734375
20100111,4.25580215,-37.9176025,526.14856,88.9123688,203.529694,4.29E-07,2.37E-06,729.680847,9.55E-06,270.395752,729.678223,24.7444382,1.24E-08,35.6751785,270.395752,0,0.00035541,-66.4111252,1.00E-05,4.90E-08,0.002199705,873.47,-2.13,0.39,-3.7,0.22,-12.34,1.72,-1.16,-0.83,6495472,7337844,6.671875
