time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,runoff
20100102,5.85987186,-3.62834501,1705.62415,106.079544,291.590759,-3.23E-08,0,1997.21912,4.79E-06,277.824127,1997.21533,14.7591295,0,24.6907845,277.824127,0,0,-70.2513657,5.98E-06,1.22E-06,0.004229901,941.85,3.46,9.14,-1.45,0.01,0.85,0.71,0.37,-0.04,8718736,9731072,7.171875,22.570312,27.976562,130.19531,186.36719
20100103,5.88301277,-9.54590034,1705.20691,55.2306938,291.661987,8.29E-07,0,1996.87744,2.61E-06,276.651978,1996.86829,9.42526627,0,-6.7398119,276.651978,0,0,-62.0931702,3.82E-06,3.84E-07,0.008591627,938.05,1.12,5.45,-2.98,0.04,-0.86,1.04,-0.68,-0.02,3915720,4368512,7.171875,22.554688,27.984375,129.75,184.64844
20100104,5.84737062,12.8096943,1704.79175,114.447517,291.307465,9.02E-07,0,1996.10706,9.20E-06,281.30484,1996.09912,29.5636883,0,25.1924038,281.30484,0,0,-46.8707161,1.20E-05,1.88E-06,0.007753714,938.24,6.47,11.86,-3.03,0.61,1.39,1.25,-1.2,-0.21,9526382,10630876,7.15625,22.4375,27.84375,128.82031,183.13281
20100105,5.8475852,-3.64520836,1704.36316,77.2462997,290.972473,4.76E-07,0,1995.35474,6.17E-06,280.0401,1995.33557,19.4552593,0,19.0742531,280.0401,0,0,-42.365181,7.89E-06,1.24E-06,0.019132162,941.62,5.39,9.31,2.95,0.33,2.57,1.18,0.7,-0.31,6747974,7532140,7.046875,22.125,27.484375,127.734375,182.21875
20100106,5.90380383,-11.8023224,1703.93164,35.9069557,291.38501,1.23E-06,0,1995.34753,3.23E-06,277.993378,1995.31665,11.9312229,0,0.272625297,277.993378,0,0,-35.5123863,4.84E-06,3.74E-07,0.030857114,943.76,3.86,5.7,0.61,0.92,2.15,0.88,0.11,-0.04,2371356,2645432,6.953125,21.859375,27.125,126.546875,181.48438
20100107,5.84311104,2.78489637,1703.51794,103.076927,291.171967,8.48E-07,0,1994.7002,6.55E-06,280.182373,1994.69043,21.9126987,0,9.22649479,280.182373,0,0,-69.1466446,8.88E-06,1.48E-06,0.010289343,944.29,5.17,10.68,0.39,0.04,2.03,0.93,0.68,-0.15,9762696,10896764,6.890625,21.65625,26.84375,125.1875,180.35938
20100108,5.87756538,-9.26689053,1703.10144,43.5750351,291.2146,1.37E-06,0,1994.32739,3.78E-06,278.413757,1994.3158,13.9132385,0,-4.93633842,278.413757,0,0,-43.8706818,5.64E-06,4.87E-07,0.011400051,938.33,3.6,7.31,-0.22,0.25,1.96,1.15,-0.25,-0.09,3169810,3536800,6.828125,21.453125,26.609375,124.125,178.89062
20100109,5.83415127,3.14404082,1702.68372,89.1093979,290.913422,9.57E-08,0,1993.59863,7.03E-06,280.533691,1993.5968,21.1439228,0,11.985898,280.533691,0,0,-52.8305969,8.57E-06,1.45E-06,0.001437021,939.16,5.43,9.79,-0.29,0,2.49,1.13,-1.08,-0.07,4221854,4713720,6.796875,21.296875,26.40625,123.828125,177.32812
20100110,5.76690006,0.795475006,1702.25427,94.3060226,290.141296,2.26E-07,0,1992.39685,1.70E-05,280.942719,1992.39551,47.2745895,0,-13.8489017,280.942719,0,0,-60.0850792,1.92E-05,1.96E-06,0.001326013,945.26,6.23,11.19,0.82,0.12,-1.62,2.18,-2.14,-0.28,7946088,8871868,6.734375,21.125,26.1875,123.265625,175.90625
20100111,5.72596455,-17.3311729,1701.7843,106.240646,288.702698,2.16E-07,0,1990.48792,1.66E-05,277.779541,1990.48682,46.2712364,0,-4.7035594,277.779541,0,0,-82.0191498,1.88E-05,1.95E-06,0.000823914,950.35,3.75,9,-0.02,0.22,-5.99,2.27,-2.21,-0.3,9160050,10228296,6.671875,20.921875,25.953125,121.984375,174.71875
