time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,runoff
20100102,5.933043,-10.7901459,1238.63464,85.4063568,293.846497,4.79E-08,0,1532.48279,7.10E-06,278.435516,1532.48132,18.8537598,0,21.5970345,278.435516,0,0,-55.7447548,7.64E-06,4.91E-07,0.001639081,978.33,6.06,10.71,0.69,0,2.46,1.45,-0.46,0.3,9500892,10736784,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875
20100103,5.93884516,-14.3386259,1238.14062,66.2060699,293.642639,3.04E-07,0,1531.78699,5.49E-06,276.957794,1531.78357,14.6162987,0,18.5899105,276.957794,0,0,-47.3418617,5.93E-06,1.28E-07,0.003632513,973.42,5.1,10.65,0.84,0,2.17,2.01,-1.58,-0.26,8267936,9344156,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422
20100104,6.07322502,15.7258835,1237.63904,83.1265411,293.872253,2.28E-07,7.63E-10,1531.52881,6.72E-06,281.760406,1531.51123,18.0443172,0,28.755455,281.760406,0,1.14E-07,-20.5798149,7.32E-06,3.63E-07,0.017443365,973.69,6.74,8.93,2.14,5.61,4.3,1.07,-0.56,-0.22,4537906,5129048,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875
20100105,6.16776133,-7.81416273,1237.26978,18.0290642,297.122162,7.22E-07,0,1534.42615,2.05E-06,279.510345,1534.39197,6.83786535,0,14.9108782,279.510345,0,0,-4.09787464,2.77E-06,1.76E-14,0.034158427,977.96,6.79,8.09,5.84,2.6,5.1,2.23,-0.36,-2.18,1730378,1955848,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125
20100106,6.05054998,-10.4353514,1237.07715,37.0907898,297.409882,7.84E-07,0,1534.50208,4.97E-06,279.384949,1534.48682,14.3716755,0,6.98943472,279.384949,0,0,-26.1751633,5.83E-06,6.94E-08,0.014987805,979.76,6.74,9.38,2.89,0.19,3.52,1.6,-1.01,-0.72,4345530,4912224,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375
20100107,5.99469233,-3.37836218,1236.8822,80.96772,296.888519,2.12E-07,0,1533.77527,7.83E-06,280.437897,1533.77075,21.4824944,0,15.7103109,280.437897,0,0,-47.1553726,8.71E-06,6.65E-07,0.004571109,980.91,7.29,11.18,2.5,0,3.52,1.15,0.5,-0.38,7427784,8397168,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875
20100108,5.97658157,-2.45730805,1236.62915,76.8929901,296.257416,1.03E-07,0,1532.88855,8.27E-06,280.213257,1532.88647,21.8854103,0,14.5238562,280.213257,0,0,-42.9349594,8.87E-06,5.01E-07,0.001912504,973.43,7.59,12.22,2.85,0,3.54,2.09,-1.37,-0.71,9083684,10269468,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188
20100109,5.98945093,7.65483618,1236.32507,50.7794952,295.830017,1.84E-07,0,1532.16785,6.30E-06,282.015228,1532.15503,16.526947,0,13.7219067,282.015228,0,0,-12.8670368,6.70E-06,2.13E-07,0.012829017,974.59,7.55,9.55,4.75,0.04,4.75,0.91,-0.7,-0.31,2243010,2536084,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625
20100110,5.99615431,-6.02703905,1235.99988,42.8973465,295.756256,1.51E-06,0,1531.76941,1.02E-05,280.911621,1531.75598,29.1563892,0,2.90560961,280.911621,0,0,-16.867054,1.18E-05,7.95E-08,0.013365845,980.27,8.32,10.5,6.49,0.26,2.23,2.49,-1.53,-1.79,4762132,5384812,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312
20100111,5.90076351,-16.1997795,1235.65869,74.8214874,294.795319,4.65E-08,0,1530.45483,1.55E-05,279.046722,1530.45422,39.3080711,0,3.94701815,279.046722,0,0,-47.7816315,1.59E-05,3.76E-07,0.000907839,985.4,6.84,10.75,1.17,0,-2.69,2.84,-2.36,-1.43,3993328,4515352,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312
20100112,5.91534185,-9.55523014,1235.24951,117.321312,293.846375,8.57E-08,0,1529.09839,1.01E-05,278.595062,1529.09595,27.4152298,0,24.524025,278.595062,0,0,-74.9334946,1.11E-05,9.05E-07,0.002402079,984.43,5.78,10.6,0.93,0.02,0.22,1.42,0.1,-0.58,11036224,12480536,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875,478.92188
20100113,5.90204,-0.882132769,1234.79395,109.855614,293.197083,5.87E-08,0,1527.99329,1.02E-05,280.16333,1527.99121,27.7278347,0,26.2502422,280.16333,0,0,-56.7580223,1.12E-05,1.01E-06,0.002201313,983.52,6.82,11.23,1.36,0,1.17,1.01,0.23,-0.65,9228234,10436476,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188,382.42188,474.45312
20100114,5.88140726,8.26661396,1234.31091,99.1547089,292.5513,4.43E-08,0,1526.86377,1.17E-05,281.839935,1526.86218,31.0341854,0,27.6164341,281.839935,0,0,-32.2241516,1.26E-05,7.92E-07,0.001571993,979.66,8.44,12.28,0.94,0,2.43,2.04,-1.51,-0.41,10938646,12371476,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562,379.32812,470.20312
20100115,5.88358259,-3.31260467,1233.7915,68.6650162,291.937683,1.27E-07,0,1525.7323,9.14E-06,281.882019,1525.72876,24.7458267,0,11.3111801,281.882019,0,0,-35.9301414,1.00E-05,7.65E-07,0.003226677,985.29,8.11,13.81,3.12,0,3.79,1.65,1.16,-0.34,9102188,10295328,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938,376.03125,466.1875
