time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
20100102,6.38349152,-7.96663523,1745.81982,77.4699249,318.551025,1.69E-07,0,2064.37524,6.52E-06,278.186737,2064.37061,17.5439358,0,15.8288155,278.186737,0,0,-52.060791,7.11E-06,4.20E-07,0.004444488,969.96,5.38,10.24,0.07,0,2.25,1.37,-0.43,0.72,6991596,7914156,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312
20100103,6.39716339,-15.0991783,1745.38867,42.2361717,318.494873,2.94E-07,0,2063.89624,3.41E-06,276.093842,2063.8833,9.13197327,0,4.55656767,276.093842,0,0,-43.6510925,3.70E-06,1.98E-09,0.012690127,965.35,3.82,8.7,-0.74,0.01,1.31,2.05,-1.5,0.04,4775992,5408188,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906
20100104,6.46196127,19.0873089,1744.79163,100.072189,318.560333,-1.69E-08,0,2063.3811,7.72E-06,282.076965,2063.35181,20.5491314,0,27.1793232,282.076965,0,0,-33.2350349,8.33E-06,6.30E-07,0.029149519,965.48,7,10.6,-1.08,4.89,3.91,1.5,-0.76,-0.47,6622708,7500800,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312
20100105,6.47532368,-8.43598843,1744.56482,28.8925552,320.162842,4.98E-07,0,2064.78369,1.71E-06,279.303345,2064.72754,5.44596672,0,12.3652277,279.303345,0,0,-19.5212536,2.21E-06,1.26E-09,0.05598196,969.73,6.36,7.83,5.33,1.67,4.39,2.1,-0.14,-1.96,1982560,2246072,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188
20100106,6.45824337,-11.9973955,1744.5741,34.5229607,320.410217,7.89E-07,0,2065.02466,3.27E-06,278.711243,2064.98438,10.0528955,0,3.72362065,278.711243,0,0,-32.7556496,4.08E-06,1.60E-08,0.040432602,971.56,5.81,8.66,1.36,0.17,2.8,1.75,-0.69,-0.79,3616300,4098712,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188
20100107,6.39747715,-5.10988712,1744.45422,91.3327103,319.769348,6.18E-07,0,2064.2334,7.54E-06,279.42041,2064.22339,22.1820354,0,15.9955053,279.42041,0,0,-58.2648125,8.99E-06,8.37E-07,0.009887825,972.47,7.16,11.21,1.29,0,3.11,1.16,0.53,-0.3,7573792,8586456,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375
20100108,6.40508604,-3.3781743,1744.12939,64.5889511,319.346405,4.89E-07,0,2063.4856,6.14E-06,279.421783,2063.47607,16.9931049,0,7.17293739,279.421783,0,0,-43.8011551,6.89E-06,2.63E-07,0.009750703,965.46,6.77,10.87,2.66,0.02,3.09,2.06,-1.22,-0.36,6432460,7295176,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875
20100109,6.39125824,7.70392752,1743.66321,76.9416656,318.948517,1.34E-07,0,2062.61719,7.25E-06,281.653564,2062.61182,19.4532833,0,15.7824745,281.653564,0,0,-33.9936523,7.89E-06,5.02E-07,0.005512545,966.35,7.45,9.91,2.54,0,4.02,1.14,-0.8,-0.13,3109060,3526760,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875
20100110,6.38321257,-1.21356761,1742.93311,76.4524689,318.599274,5.07E-07,0,2061.54004,1.32E-05,281.45105,2061.53223,35.167099,0,1.93275023,281.45105,0,0,-40.5671425,1.43E-05,5.85E-07,0.007719777,972.21,8.3,11.49,5.71,0.01,0.96,2.6,-1.61,-1.28,6104886,6927676,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625
20100111,6.37381554,-17.1804752,1741.62024,91.1995468,318.205444,9.07E-08,0,2059.82739,1.63E-05,278.58728,2059.82568,41.8424835,0,3.33382082,278.58728,0,0,-63.2176552,1.70E-05,5.89E-07,0.001736211,977.35,6.41,11.54,-0.33,0,-4.15,3.27,-2.99,-0.74,6532150,7414104,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188
20100112,6.36033297,-12.5640459,1740.64709,117.023277,317.755493,5.80E-09,0,2058.40332,1.06E-05,277.514801,2058.40283,28.2100048,0,17.5337639,277.514801,0,0,-83.8434525,1.14E-05,8.00E-07,0.000732264,976.05,4.48,10.26,-1.02,0,-1.73,1.6,-0.57,-0.27,11923488,13539072,6.609375,20.71875,25.703125,120.546875,173.5,381.84375,385.46875
