time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,runoff
20100102,5.4251852,6.01268625,648.96582,111.176765,262.067749,1.21E-08,4.61E-08,911.034546,4.84E-06,275.925079,911.033569,13.605094,0,15.9445848,275.925079,0,6.92E-06,-75.6113586,5.52E-06,6.68E-07,0.000953672,893.08,3.33,8.15,-2.82,0,-1.77,0.66,-0.12,-0.06,10169714,11604988,7.171875,22.570312,27.976562,130.19531
20100103,5.42258835,-3.56526399,648.501648,78.4197922,261.938416,5.61E-07,0,910.443665,5.03E-06,275.293579,910.440063,14.5970898,0,1.39000177,275.293579,0,0,-65.9966431,5.92E-06,3.30E-07,0.003617425,890.61,0.78,6.36,-3.74,0.04,-2.75,1.36,-1.08,0.42,8485276,9568200,7.171875,22.554688,27.984375,129.75
20100104,5.39750624,3.28955483,648.031128,114.138649,261.429993,2.30E-08,0,909.462708,9.39E-06,276.985382,909.461304,25.1659508,0,30.4586067,276.985382,0,0,-55.2210197,1.02E-05,7.89E-07,0.001592836,891.72,3.51,7.38,-3.8,0.02,-3.47,0.79,-0.06,-0.36,9818678,10997812,7.15625,22.4375,27.84375,128.82031
20100105,5.38965034,0.133753523,647.53241,91.0650787,260.915558,5.42E-07,0,908.453369,8.72E-06,277.019257,908.447815,24.3466682,0,12.6354885,277.019257,0,0,-53.9474869,9.87E-06,6.10E-07,0.005440784,893.28,1.6,6.69,-1.67,0.32,-2.8,1.33,0.74,-1.06,9422238,10504144,7.046875,22.125,27.484375,127.734375
20100106,5.40316391,-7.73700333,647.012756,52.3256149,260.73349,1.26E-06,0,907.766296,4.41E-06,275.785461,907.746216,14.6237392,0,19.2646027,275.785461,0,0,-26.179493,5.93E-06,2.56E-07,0.020056149,895.35,2.18,4.42,-0.9,0.29,-0.77,0.92,0.09,-0.13,5219044,5850180,6.953125,21.859375,27.125,126.546875
20100107,5.38894844,6.06064844,646.500793,107.926521,260.595581,6.82E-07,0,907.102356,6.87E-06,278.083252,907.096497,20.2309017,0,8.68612099,278.083252,0,0,-72.9414825,8.20E-06,6.50E-07,0.006009604,895.49,3.32,8.4,-0.99,0.25,-0.58,0.95,0.42,-0.47,10833320,12083148,6.890625,21.65625,26.84375,125.1875
20100108,5.40037394,-9.44540787,645.991516,51.1771927,260.565796,1.20E-06,0,906.565613,4.56E-06,275.954956,906.557251,14.8116322,0,6.10463238,275.954956,0,0,-39.7127419,6.01E-06,2.54E-07,0.008323734,890.52,1.86,5.18,-1.54,1.52,-0.21,1.29,-0.03,0.01,5504682,6158904,6.828125,21.453125,26.609375,124.125
20100109,5.38262844,3.86482191,645.490051,95.3938446,260.345917,1.68E-07,0,905.840576,6.49E-06,277.970367,905.835938,17.9161415,0,31.7879257,277.970367,0,0,-41.8200455,7.26E-06,6.08E-07,0.004607794,892.35,3.89,8.01,-1.28,0.14,-0.19,0.64,-0.35,-0.11,7611654,8479188,6.796875,21.296875,26.40625,123.828125
20100110,5.35051966,-6.18344545,644.984497,87.2291565,259.799072,7.84E-07,0,904.787048,1.36E-05,276.771332,904.783508,37.0021896,0,-0.513071835,276.771332,0,0,-56.9272079,1.50E-05,6.00E-07,0.003465856,898.43,1.65,5.96,-3.69,0.13,-5.31,1.74,-1.62,0.48,5898538,6564812,6.734375,21.125,26.1875,123.265625
20100111,5.33234978,-23.534502,644.440369,98.0435028,258.874298,3.22E-07,0,903.315979,1.22E-05,273.431396,903.314758,32.2162933,0,20.3188267,273.431396,0,0,-69.054985,1.31E-05,4.97E-07,0.001292225,902.44,-0.03,4.17,-3.64,0.07,-9.05,1.95,-1.87,0.39,7928622,8824724,6.671875,20.921875,25.953125,121.984375
