time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,runoff
20100102,4.32346678,13.1851559,525.594421,111.358223,204.514389,1.55E-08,3.21E-08,730.109619,4.53E-06,275.223694,730.108826,12.515274,4.44E-16,8.44356632,275.223694,0,4.81E-06,-77.2117996,5.07E-06,5.24E-07,0.000764058,876.58,2.38,7.29,-2.3,0,-3.04,0.97,0.28,-0.13,10107164,11749020,7.171875,22.570312,27.976562
20100103,4.32164001,-0.540449977,525.135864,79.0688095,204.405029,3.89E-07,3.20E-07,729.543884,5.14E-06,275.053467,729.540771,14.3184376,0,-3.0677743,275.053467,0,4.80E-05,-68.3564911,5.81E-06,2.75E-07,0.002924737,874.48,0.83,6.13,-3.89,0,-3.38,1.25,-0.84,-0.24,8852356,10126748,7.171875,22.554688,27.984375
20100104,4.27661705,2.03099871,524.670471,113.472862,203.915878,5.78E-09,0,728.586853,8.29E-06,276.106079,728.586182,21.8608799,0,31.2243366,276.106079,0,0,-58.353447,8.86E-06,5.72E-07,0.000506048,875.51,1.46,6.6,-3.97,0.01,-5.64,0.93,-0.72,-0.49,9827118,11131036,7.15625,22.4375,27.84375
20100105,4.28189373,1.33857989,524.174561,82.9400711,203.521439,3.30E-07,0,727.700745,7.14E-06,276.448456,727.695923,19.5133629,0,8.60827446,276.448456,0,0,-53.4775925,7.91E-06,4.42E-07,0.004772082,876.51,1.03,6.35,-2.51,0.08,-3.68,1.19,0.84,-0.44,8621156,9697680,7.046875,22.125,27.484375
20100106,4.31921673,-7.67965269,523.663574,54.8953972,203.41716,1.20E-06,8.31E-08,727.102783,3.50E-06,275.101562,727.08075,12.0470448,0,23.4826183,275.101562,0,1.25E-05,-27.0504093,4.88E-06,1.88E-07,0.022030281,878.89,1.23,4.4,-1.59,0.08,-1.76,0.82,0.33,-0.13,5797378,6502652,6.953125,21.859375,27.125
20100107,4.29117155,6.91187763,523.165405,107.723351,203.332138,7.05E-07,0,726.503662,5.92E-06,277.514954,726.497437,17.6390686,0,11.1386786,277.514954,0,0,-72.0258942,7.15E-06,5.30E-07,0.00611368,878.86,2.14,7.2,-2.05,0.18,-1.47,1.36,0.92,-0.2,10499476,11731876,6.890625,21.65625,26.84375
20100108,4.32297421,-10.3827562,522.673828,49.6269035,203.352417,1.12E-06,0,726.035339,3.48E-06,275.130493,726.026123,11.9315634,0,7.87432909,275.130493,0,0,-40.2104568,4.84E-06,2.39E-07,0.009083215,874.22,1.51,4.78,-2.45,0.53,-1,1.25,0.4,-0.3,5206494,5816772,6.828125,21.453125,26.609375
20100109,4.27360821,4.85682201,522.197266,98.7802048,203.134354,2.63E-07,0,725.334717,7.29E-06,277.559326,725.331665,19.9486141,0,26.3459091,277.559326,0,0,-47.6247864,8.09E-06,5.38E-07,0.003141843,876.18,1.95,7.32,-2.21,0.02,-2.63,1.03,-0.88,-0.35,7727958,8606372,6.796875,21.296875,26.40625
20100110,4.20473623,-7.56896496,521.707275,93.3869553,202.460938,6.24E-07,1.03E-08,724.170593,1.40E-05,275.760529,724.168274,37.3646622,0,1.33915091,275.760529,0,1.55E-06,-62.2554588,1.51E-05,5.23E-07,0.002364981,882.43,0.22,4.28,-4.2,0.08,-7.68,2.1,-2.03,-0.4,6320632,7030384,6.734375,21.125,26.1875
20100111,4.19514894,-26.1938686,521.161865,92.8812714,201.58287,2.93E-07,7.16E-09,722.746033,1.13E-05,272.487366,722.744751,29.3620262,0,22.8094139,272.487366,0,1.07E-06,-66.9144135,1.19E-05,3.32E-07,0.001264723,886.15,-1.04,2.19,-3.99,0.1,-11.1,1.99,-1.73,-0.76,7110334,7922800,6.671875,20.921875,25.953125
20100112,4.23458147,-10.0300913,520.56842,123.140526,201.258347,4.65E-09,0,721.827087,6.36E-06,272.636841,721.826904,16.4116039,0,32.0686913,272.636841,0,0,-84.6874771,6.65E-06,2.94E-07,0.000331051,882.85,-0.19,4.17,-3.82,0,-9.03,1.09,-0.04,-0.38,11859784,13220264,6.609375,20.71875,25.703125
20100113,4.21344137,13.1690931,519.968201,116.542351,200.984909,1.21E-07,0,720.955139,8.38E-06,275.740692,720.953186,21.9179115,0,17.5290356,275.740692,0,0,-63.914547,8.89E-06,3.85E-07,0.002004768,880.79,1.01,5.84,-2.28,0.2,-4.78,1.95,1.79,-0.16,11145194,12400432,6.546875,20.515625,25.453125
20100114,4.24899626,-2.79071689,519.364807,64.0984421,200.902985,1.08E-06,0,720.276855,4.28E-06,275.572845,720.267639,13.7104197,0,12.0152807,275.572845,0,0,-41.1678543,5.56E-06,1.99E-07,0.009073947,880.44,0.54,3.86,-2.74,0.3,-2.4,1,-0.13,-0.02,5297654,5944856,6.46875,20.3125,25.203125
