time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,runoff
20100102,6.50886202,-7.80869055,1917.19141,85.7968063,323.915924,1.43E-07,0,2241.11206,6.66E-06,277.316162,2241.10693,17.8105145,0,19.4574184,277.316162,0,0,-56.3328209,7.22E-06,4.13E-07,0.004791364,953.64,4.58,9.59,-0.12,0.01,1.73,1.01,-0.11,0.6,7286702,8129072,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922
20100103,6.52253389,-14.4484434,1916.77356,42.1263809,323.877045,2.44E-07,0,2240.66748,3.18E-06,275.386444,2240.65039,8.44357777,0,2.59604478,275.386444,0,0,-45.54002,3.42E-06,3.88E-09,0.01680493,949.25,2.28,7.18,-2.14,0.03,0.22,1.67,-1.26,0.03,3674380,4099936,7.171875,22.554688,27.984375,129.75,184.64844,410.20312
20100104,6.5593977,20.2750664,1916.13391,103.106949,323.833069,2.54E-07,0,2239.99585,8.49E-06,281.70517,2239.96704,23.3504543,0,23.36273,281.70517,0,0,-36.098362,9.47E-06,7.22E-07,0.028990347,949.44,6.87,11.78,-2.14,3.21,3.14,1.39,-0.73,-0.35,8106286,9044868,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047
20100105,6.56388712,-7.90349007,1915.77344,38.9960938,324.792267,7.96E-07,0,2240.60718,2.98E-06,278.929138,2240.56592,9.31645966,0,12.4431458,278.929138,0,0,-25.144207,3.78E-06,3.21E-09,0.041483294,953.52,5.58,7.43,3.72,1.08,3.64,1.69,0.42,-1.36,2933434,3273200,7.046875,22.125,27.484375,127.734375,182.21875,402.76562
20100106,6.56979465,-12.6248684,1915.64661,34.5860176,325.090668,7.74E-07,0,2240.77979,3.27E-06,277.911469,2240.73755,9.96996117,0,4.5006032,277.911469,0,0,-32.7520447,4.04E-06,1.37E-09,0.04243863,955.36,4.96,7.27,0.76,0.69,2.32,1.43,-0.21,-0.6,3091412,3450476,6.953125,21.859375,27.125,126.546875,181.48438,399.85938
20100107,6.51213264,-3.63932967,1915.43372,93.5409164,324.545502,6.65E-07,0,2239.99146,7.54E-06,278.836548,2239.979,22.1939011,0,15.6957207,278.836548,0,0,-59.2872314,9.00E-06,7.90E-07,0.012187633,956.19,6.41,10.7,0.68,0.04,2.63,1.04,0.62,-0.2,7847778,8759584,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438
20100108,6.52729416,-5.115417,1915.05457,56.5715828,324.28476,6.19E-07,0,2239.3562,5.43E-06,278.499084,2239.3396,15.2286549,0,4.72310686,278.499084,0,0,-41.7381325,6.17E-06,1.25E-07,0.016793881,949.52,5.58,9.57,1.6,0.06,2.58,1.73,-0.72,-0.33,5434410,6066964,6.828125,21.453125,26.609375,124.125,178.89062,395.0625
20100109,6.50887775,6.05842113,1914.53809,78.1477966,323.945862,2.72E-07,0,2238.48999,7.40E-06,280.718262,2238.48389,20.1766319,0,13.850009,280.718262,0,0,-38.0566444,8.18E-06,5.04E-07,0.006053215,950.33,6.84,10.08,1.39,0,3.09,1.1,-0.8,-0.13,3844342,4291672,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188
20100110,6.49988461,0.220521614,1913.74805,83.8396225,323.601685,2.15E-07,0,2237.354,1.42E-05,280.901794,2237.34961,37.1643829,0,-1.2280556,280.901794,0,0,-47.6826706,1.51E-05,6.86E-07,0.004320418,956.21,7.62,11.53,3.41,0.05,-0.4,2.41,-1.67,-0.8,6293354,7026984,6.734375,21.125,26.1875,123.265625,175.90625,388.70312
20100111,6.49356461,-17.7318535,1912.32324,94.7671585,323.243164,1.02E-07,0,2235.56836,1.68E-05,277.691376,2235.56689,42.8788986,0,2.78710103,277.691376,0,0,-66.8465042,1.74E-05,4.64E-07,0.001905785,961.3,5.25,10.76,-2.06,0.03,-5.73,3.34,-3.24,-0.51,8806592,9833608,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625
