time,ssm,ghf,gws,nswrf,rzsm,cwe,sd,tws,debs,asst,psm,lhnf,sm,shnf,sst,se,sdwe,nlwrf,Evap,Tran,pcsw,gp,at,tmax,tmin,Pre,dpt,aws,mws,lws,nsri,tsri,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,JinRO,runoff
20100102,6.19370365,-13.4542789,770.102844,79.117897,300.803406,9.08E-10,0,1070.90796,8.08E-06,278.849426,1070.90625,20.8673038,0,16.8528099,278.849426,0,0,-54.8537483,8.46E-06,3.76E-07,0.001736192,986.59,7.14,12.44,1.34,0,3.03,1.78,-0.79,-0.45,9912228,11024512,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922,418.20312,518.46875,574.8906
20100103,6.17878056,-5.31579924,769.638733,101.954025,300.27713,4.91E-08,0,1069.91724,8.78E-06,279.393738,1069.91565,22.8724117,0,27.510088,279.393738,0,0,-56.8807144,9.27E-06,4.48E-07,0.001425699,981.24,6.99,13.53,0.95,0.01,2.99,2.36,-1.92,-0.39,11484696,12777756,7.171875,22.554688,27.984375,129.75,184.64844,410.20312,414.28906,513.2422,568.89844
20100104,6.36929941,9.31878376,769.129028,54.4493065,300.579163,3.68E-07,0,1069.72534,5.82E-06,281.916016,1069.70825,15.5674477,0,21.449152,281.916016,0,0,-8.09971714,6.31E-06,1.27E-07,0.017130021,981.95,7.12,8.7,2.49,4.37,4.25,1.06,-0.73,0.2,3685460,4101904,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047,410.45312,508.46875,563.0078
20100105,6.45545626,-9.9711237,769.103455,14.4539251,304.136566,2.61E-07,0,1073.27527,1.83E-06,280.410431,1073.24011,5.16629982,0,7.8355217,280.410431,0,0,-11.4304924,2.09E-06,2.43E-09,0.035229139,986.02,7.64,8.94,6.4,2.59,5.87,1.53,0.47,-1.29,1566256,1743804,7.046875,22.125,27.484375,127.734375,182.21875,402.76562,407.17188,506.53125,559.9844
20100106,6.30121946,-4.57828045,769.46344,49.4220009,303.625854,7.61E-07,0,1073.10107,7.13E-06,281.019348,1073.08936,19.8748646,0,10.4303036,281.019348,0,0,-23.698267,8.06E-06,1.71E-07,0.011807049,987.63,8.38,11.81,5.43,0.01,4.14,1.86,-1.35,-0.98,5758404,6413232,6.953125,21.859375,27.125,126.546875,181.48438,399.85938,404.17188,508.59375,560.8281
20100107,6.25415468,-6.78155613,769.633179,70.92733,303.028961,1.81E-07,0,1072.66626,8.13E-06,281.032257,1072.66211,21.5946865,0,12.5339317,281.032257,0,0,-43.5864449,8.76E-06,4.41E-07,0.004164723,989.28,8.67,12.42,3.73,0,4.42,1.2,0.34,-0.28,8278926,9223616,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438,401.34375,508.1875,562.71875
20100108,6.20094872,4.05394554,769.602905,98.4451447,301.992218,5.96E-08,0,1071.59631,1.11E-05,282.158081,1071.59509,29.2832947,0,18.3834648,282.158081,0,0,-46.7107773,1.19E-05,7.06E-07,0.001207478,981.16,9.46,13.97,3.36,0,4.19,2.07,-1.44,-0.71,11285738,12577752,6.828125,21.453125,26.609375,124.125,178.89062,395.0625,398.6875,503.17188,562.3906
20100109,6.2446928,6.07188559,769.371887,41.1059647,301.394867,2.52E-07,0,1070.78284,6.29E-06,283.354034,1070.7666,16.6099167,0,11.8655272,283.354034,0,0,-6.55364847,6.73E-06,1.92E-07,0.016074395,982.74,9.31,11.34,7.75,0.5,5.62,0.94,-0.53,-0.1,2959204,3299100,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188,395.875,496.40625,558.34375
20100110,6.3768301,-5.37768364,769.162842,26.6382256,302.32785,9.62E-07,0,1071.51392,4.88E-06,282.436218,1071.49072,14.5759678,0,11.327486,282.436218,0,0,-6.11828327,5.91E-06,6.31E-08,0.02319216,987.92,9.41,12.1,6.33,2.23,6.33,2.11,-1.73,-0.99,4207128,4691972,6.734375,21.125,26.1875,123.265625,175.90625,388.70312,392.5625,489.70312,551.3906
20100111,6.19941521,-15.8062658,769.12207,50.404686,302.03952,9.33E-07,0,1071.17102,1.29E-05,280.208923,1071.1615,34.4744682,0,3.9876771,280.208923,0,0,-27.762537,1.40E-05,1.70E-07,0.009406918,993.46,6.41,8.63,3.71,2.42,2.77,1.99,-1.74,-0.24,2000988,2232348,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625,388.92188,483.95312,543.59375
