Time,Pre,Actual
2019/1/16,5.1249933,5.65625
2019/1/17,5.1668916,5.59375
2019/1/18,5.182107,5.53125
2019/1/19,5.23151,5.5
2019/1/20,5.1806803,5.4375
2019/1/21,5.0953436,5.375
2019/1/22,5.11409,5.3125
2019/1/23,5.3490744,5.28125
2019/1/24,5.5212193,5.375
2019/1/25,5.9009676,5.375
2019/1/26,5.754753,5.59375
2019/1/27,5.7666645,5.90625
2019/1/28,5.6016855,5.71875
2019/1/29,5.4974737,5.59375
2019/1/30,5.5296564,5.625
2019/1/31,5.381502,5.4375
2019/2/1,5.1814003,5.21875
2019/2/2,5.1649456,5.09375
2019/2/3,5.1524954,5.03125
2019/2/4,5.2391768,5
2019/2/5,5.419138,5
2019/2/6,6.0473986,5.28125
2019/2/7,6.199979,5.75
2019/2/8,6.1905584,6.0625
2019/2/9,5.881216,5.71875
2019/2/10,5.889496,5.28125
2019/2/11,5.716423,5.0625
2019/2/12,5.7708435,5
2019/2/13,5.075638,5.125
2019/2/14,5.108941,5
2019/2/15,5.133234,4.90625
2019/2/16,5.087656,4.84375
2019/2/17,5.017911,4.8125
2019/2/18,5.6484594,4.75
2019/2/19,5.61042,4.71875
2019/2/20,5.2452574,4.6875
2019/2/21,4.8329124,5.03125
2019/2/22,5.169284,5.15625
2019/2/23,5.4230385,5.0625
2019/2/24,5.7099686,5.78125
2019/2/25,6.341696,7.0625
2019/2/26,7.4667263,8.90625
2019/2/27,9.096184,9
2019/2/28,8.928055,8.375
2019/3/1,8.58062,7.9375
2019/3/2,8.24987,7.875
2019/3/3,7.83753,7.3125
2019/3/4,7.153034,7
2019/3/5,7.457691,7.25
2019/3/6,7.4992504,8.46875
2019/3/7,8.562016,11.25
2019/3/8,11.468652,13.90625
2019/3/9,13.427434,13.84375
2019/3/10,13.01479,13.90625
2019/3/11,13.369943,15.4375
2019/3/12,14.52273,15.625
2019/3/13,15.056733,19.34375
2019/3/14,18.88777,20.625
2019/3/15,19.103935,20.0625
2019/3/16,18.244356,18.65625
2019/3/17,17.23878,17.09375
2019/3/18,16.342316,17.28125
2019/3/19,16.035467,16.71875
2019/3/20,16.639677,15.65625
2019/3/21,15.298064,14.90625
2019/3/22,14.486781,14
2019/3/23,13.279922,12.8125
2019/3/24,11.753823,11.53125
2019/3/25,10.667426,10.40625
2019/3/26,9.690605,9.375
2019/3/27,9.024201,8.96875
2019/3/28,9.15371,8.5625
2019/3/29,8.908531,12.1875
2019/3/30,11.776632,12.90625
2019/3/31,11.987929,11.59375
2019/4/1,10.7277,10.28125
2019/4/2,9.5909195,9.5625
2019/4/3,9.683955,10.4375
2019/4/4,10.066627,10
2019/4/5,9.663595,9.15625
2019/4/6,9.065445,8.28125
2019/4/7,8.599911,7.625
2019/4/8,8.064765,7.09375
2019/4/9,7.2708025,9.46875
2019/4/10,8.843298,10.28125
2019/4/11,10.287943,9.75
2019/4/12,9.3520155,8.90625
2019/4/13,9.158892,9.09375
2019/4/14,9.06238,9
2019/4/15,8.817682,8.78125
2019/4/16,9.148578,10.6875
2019/4/17,9.919688,10.78125
2019/4/18,10.165395,9.71875
2019/4/19,9.821341,11.5
2019/4/20,12.213425,21.6875
2019/4/21,20.229399,26.375
2019/4/22,23.162958,24.46875
2019/4/23,21.6839,21.875
2019/4/24,20.037428,19.9375
2019/4/25,18.86961,18.21875
2019/4/26,16.890377,17.6875
2019/4/27,18.180641,23.71875
2019/4/28,22.580256,24.40625
2019/4/29,23.372576,24.5625
2019/4/30,22.080906,22.71875
2019/5/1,20.101137,20.25
2019/5/2,18.748514,20.4375
2019/5/3,19.867805,19.75
2019/5/4,19.32104,19.84375
2019/5/5,19.374327,23.25
2019/5/6,26.333712,37.53125
2019/5/7,38.584232,53.875
2019/5/8,49.717846,53.90625
2019/5/9,46.910645,48.28125
2019/5/10,42.3774,43.375
2019/5/11,39.770508,43.6875
2019/5/12,39.286095,40.90625
2019/5/13,37.04278,36.78125
2019/5/14,32.72279,33.375
2019/5/15,31.237532,32.1875
2019/5/16,27.860525,29.5
2019/5/17,27.332468,27.4375
2019/5/18,24.885866,28.09375
2019/5/19,28.124308,30.5
2019/5/20,27.723623,28.71875
2019/5/21,25.268007,25.75
2019/5/22,22.642393,22.96875
2019/5/23,20.553774,20.5
2019/5/24,18.061398,18.3125
2019/5/25,16.347624,16.375
2019/5/26,16.216549,15.34375
2019/5/27,13.4498,14.0625
2019/5/28,15.885486,15.78125
2019/5/29,15.709727,16
2019/5/30,16.315111,15.84375
2019/5/31,14.075126,14.65625
2019/6/1,13.609633,13.25
2019/6/2,11.68801,11.9375
2019/6/3,11.471393,11.21875
2019/6/4,10.903113,17.3125
2019/6/5,19.107826,28.75
2019/6/6,25.612543,29.75
2019/6/7,25.775011,26.34375
2019/6/8,23.555662,23.25
2019/6/9,21.048937,20.71875
2019/6/10,19.115408,19.5625
2019/6/11,18.689617,20.75
2019/6/12,21.293062,21.8125
2019/6/13,20.018955,20.5625
2019/6/14,18.957952,18.71875
2019/6/15,19.115175,21.1875
2019/6/16,21.866014,23.5625
2019/6/17,20.716936,22.3125
2019/6/18,21.6233,21.125
2019/6/19,19.483484,19.96875
2019/6/20,23.84834,19.1875
2019/6/21,28.07546,26.25
2019/6/22,31.320257,39.875
2019/6/23,37.885754,40.28125
2019/6/24,35.66237,37.21875
2019/6/25,35.554535,35.09375
2019/6/26,32.333347,32.40625
2019/6/27,37.448063,37.1875
2019/6/28,45.90903,49.625
2019/6/29,43.74796,48.8125
2019/6/30,41.767128,44.125
2019/7/1,37.854725,39.6875
2019/7/2,33.157288,35.59375
2019/7/3,31.98416,32.03125
2019/7/4,30.865887,28.875
2019/7/5,25.228588,25.90625
2019/7/6,23.012568,23.1875
2019/7/7,20.169714,20.78125
2019/7/8,19.368006,21.8125
2019/7/9,25.24326,25.90625
2019/7/10,24.063826,25.46875
2019/7/11,21.996563,23.09375
2019/7/12,24.003138,23.90625
2019/7/13,22.438461,22.5
2019/7/14,20.072275,20.3125
2019/7/15,18.248816,18.375
2019/7/16,21.574944,20.5625
2019/7/17,26.949894,22.03125
2019/7/18,26.237871,27.53125
2019/7/19,31.22917,31.90625
2019/7/20,34.877922,32.0625
2019/7/21,30.050434,29.65625
2019/7/22,35.039856,34.65625
